date,ship_type_id,losses
2018-01-01,582,21
2018-01-01,583,115
2018-01-01,584,109
2018-01-01,585,135
2018-01-01,586,70
2018-01-01,587,138
2018-01-01,588,139
2018-01-01,589,109
2018-01-01,590,19
2018-01-01,591,82
2018-01-01,592,29
2018-01-01,593,249
2018-01-01,594,150
2018-01-01,596,53
2018-01-01,597,143
2018-01-01,598,106
2018-01-01,599,14
2018-01-01,601,206
2018-01-01,602,138
2018-01-01,603,260
2018-01-01,605,215
2018-01-01,606,216
2018-01-01,607,144
2018-01-01,608,267
2018-01-01,609,41
2018-01-01,617,1
2018-01-01,620,36
2018-01-01,621,194
2018-01-01,622,84
2018-01-01,623,68
2018-01-01,624,26
2018-01-01,625,11
2018-01-01,626,204
2018-01-01,627,105
2018-01-01,628,36
2018-01-01,629,49
2018-01-01,630,4
2018-01-01,631,28
2018-01-01,632,22
2018-01-01,633,9
2018-01-01,634,56
2018-01-01,638,43
2018-01-01,639,29
2018-01-01,640,5
2018-01-01,641,32
2018-01-01,642,4
2018-01-01,643,20
2018-01-01,644,26
2018-01-01,645,42
2018-01-01,648,25
2018-01-01,649,34
2018-01-01,650,51
2018-01-01,652,17
2018-01-01,653,11
2018-01-01,654,6
2018-01-01,655,26
2018-01-01,656,38
2018-01-01,657,79
2018-01-01,670,3943
2018-01-01,671,2
2018-01-01,672,41
2018-01-01,1944,15
2018-01-01,2006,51
2018-01-01,2078,1
2018-01-01,2161,29
2018-01-01,2233,45
2018-01-01,2998,17
2018-01-01,3756,71
2018-01-01,3766,25
2018-01-01,4302,19
2018-01-01,4306,11
2018-01-01,4308,33
2018-01-01,4310,43
2018-01-01,4318,2
2018-01-01,11129,45
2018-01-01,11132,24
2018-01-01,11134,24
2018-01-01,11172,31
2018-01-01,11174,13
2018-01-01,11176,43
2018-01-01,11178,63
2018-01-01,11182,16
2018-01-01,11184,30
2018-01-01,11186,83
2018-01-01,11188,17
2018-01-01,11190,6
2018-01-01,11192,38
2018-01-01,11194,14
2018-01-01,11196,94
2018-01-01,11198,153
2018-01-01,11200,34
