ship_type_id,total_losses,type_name
670,5735091,Capsule
601,566225,Ibis
606,542387,Velator
588,358889,Reaper
596,258916,Impairor
34562,65080,Svipul
33328,63655,Capsule - Genolution 'Auroral' 197-variant
2233,45955,Customs Office
34317,38420,Confessor
4318,34119,InterBus Customs Office
35683,16488,Hecate
34828,16284,Jackdaw
34496,2621,Council Diplomatic Shuttle
34590,1805,Victorieux Luxury Yacht
2863,1612,Primae
353769,1557,Logistics mk.0
2078,1497,Zephyr
353760,1410,Scout gk.0
364034,1344,Logistics gk.0
353767,1291,Sentinel ak.0
3532,1282,Echelon
32245,1272,Hyasyoda Research Laboratory
352591,1223,Frontline - CA
364743,1210,Frontline - GA
364027,1074,Scout ck.0
364741,1058,Medic - GA
29266,1023,Apotheosis
353764,1022,Assault ck.0
364740,1009,Frontline - AM
37456,998,Maulus Navy Issue
364745,960,Frontline - MN
353768,927,Logistics M/1-Series
364041,873,Sentinel gk.0
364033,872,Logistics ck.0
356559,858,Medic - CA
364021,839,Assault mk.0
364738,815,Medic - AM
353763,777,Assault C/1-Series
353759,748,Scout G/1-Series
352592,743,Militia Amarr Heavy Frame
364031,743,Logistics G/1-Series
364023,714,Assault gk.0
364744,692,Medic - MN
364028,691,Scout mk.0
364019,650,Assault G/1-Series
37455,649,Griffin Navy Issue
351278,649,Gunnlogi C-I
37480,633,Bifrost
354941,627,Militia Caldari Medium Frame
364032,620,Logistics A/1-Series
364022,616,Assault ak.0
355473,608,Gorgon
364035,592,Logistics ak.0
37454,587,Vigil Fleet Issue
353766,576,Sentinel A/1-Series
364818,562,Amarr Heavy Frame A-I
355470,561,Soma
351824,560,Madrugar G-I
355374,548,Sica
37482,527,Stork
364018,518,Assault M/1-Series
352588,492,Logistics M-I
353486,490,Onikuma
364030,489,Logistics C/1-Series
353808,485,Baloch
364024,469,Scout C/1-Series
352415,461,Sentinel A-I
355472,451,Viper
364883,448,Amarr Heavy Frame A/1-Series
364040,444,Sentinel ck.0
364026,441,Scout M/1-Series
354934,438,Sniper - CA
364884,430,Amarr Heavy Frame ak.0
37483,421,Magus
366715,417,Commando mk.0
364956,405,Militia Gallente Medium Frame
364739,395,Sniper - AM
363983,390,Logistics G-I
364732,385,Armor AV - GA
364020,376,Assault A/1-Series
354935,373,Armor AV - CA
364746,370,Sniper - MN
353884,360,Python
364742,351,Sniper - GA
364955,346,Militia Amarr Medium Frame
351071,341,Assault C-I
37453,331,Crucifier Navy Issue
356842,327,Blood Raiders Saga
352593,322,Militia Minmatar Medium Frame
364726,318,Armor AV - AM
363935,301,Assault G-I
352587,299,Scout G-I
355430,295,'Dragonfly' Scout [nSv]
364736,293,Armor AV - MN
37481,289,Pontifex
366695,278,Militia Caldari Heavy Frame
364038,258,Sentinel G/1-Series
364039,253,Sentinel mk.0
366714,253,Commando M/1-Series
363936,249,Assault M-I
367856,248,Republic 'Shaman' Logistics
356037,241,'Sever' Logistics M-I
366368,240,Federation Logistics gk.0
363984,234,Logistics A-I
364952,232,Militia Minmatar Light Frame
