ship_type_id,total_losses,type_name
670,7110810,Capsule
606,519344,Velator
601,468890,Ibis
596,233244,Impairor
588,223351,Reaper
33328,113905,Capsule - Genolution 'Auroral' 197-variant
2233,57226,Customs Office
46364,28423,Blood Raider Forward Operating Base
29266,17954,Apotheosis
46363,14288,Guristas Forward Operating Base
57319,12582,Mobile Cynosural Beacon
58745,6748,AIR Civilian Astero
2078,1020,Zephyr
4318,804,InterBus Customs Office
72904,790,Heron Navy Issue
45006,636,♦ Sotiyo
3532,551,Echelon
2863,533,Primae
72913,468,Imicus Navy Issue
72907,347,Magnate Navy Issue
72812,302,Ferox Navy Issue
72903,251,Probe Fleet Issue
45474,239,♦ Chemosh
46654,222,♦ Caiman
45470,157,♦ Chemosh
46653,149,♦ Caiman
64034,92,Boobook
16221,89,Moon Harvesting Array
47516,64,Minmatar Faction Citadel
47516,64,'Prometheus' Fortizar
47513,62,Amarr Faction Citadel
47513,62,'Draccous' Fortizar
47515,43,Gallente Faction Citadel
47515,43,'Marginis' Fortizar
32245,41,Hyasyoda Research Laboratory
33081,25,Taipan
73227,23,Caldari Propaganda Broadcast Structure
73228,23,Gallente Propaganda Broadcast Structure
615,22,Immolator
73272,20,Caldari Listening Outpost
617,19,Echo
47514,17,Caldari Faction Citadel
47514,17,'Horizon' Fortizar
73273,17,Gallente Listening Outpost
33079,16,Hematos
73226,13,Minmatar Propaganda Broadcast Structure
27675,12,System Scanning Array
33083,12,Violator
47512,9,Immensea Faction Citadel
47512,9,'Moreau' Fortizar
73271,9,Minmatar Listening Outpost
58906,4,Highsec Authorized Mobile Cynosural Beacon
73270,4,Amarr Listening Outpost
11942,3,Silver Magnate
16220,3,Rapid Equipment Assembly Array
73225,3,Amarr Propaganda Broadcast Structure
9854,1,Polaris Inspector Frigate
11940,1,Gold Magnate
