date,ship_type_id,estimated_hull_value,n_materials_total,n_materials_priced,losses,pct_value_priced
2011-01-01,582,186051.24,6,6,18,1
2011-01-01,583,164485.34,6,6,48,1
2011-01-01,584,194274.34,7,7,17,1
2011-01-01,585,185244.96,6,6,30,1
2011-01-01,586,230929.26,7,7,47,1
2011-01-01,587,254580.3,7,7,296,1
2011-01-01,589,178598.66,6,6,31,1
2011-01-01,590,173735.68,7,7,7,1
2011-01-01,591,233723.52,6,6,10,1
2011-01-01,592,203050.55,6,6,19,1
2011-01-01,593,240408.73,7,7,32,1
2011-01-01,594,205608.43,6,6,55,1
2011-01-01,597,248549.71,6,6,54,1
2011-01-01,598,192890.8,7,7,4,1
2011-01-01,599,206831.99,7,7,7,1
2011-01-01,602,256063.3,6,6,123,1
2011-01-01,603,217559.03,7,7,60,1
2011-01-01,605,230290.95,7,7,36,1
2011-01-01,607,225878.06,7,7,42,1
2011-01-01,608,178664.19,6,6,28,1
2011-01-01,609,158979.11,6,6,3,1
2011-01-01,620,4745205.1,7,7,12,1
2011-01-01,621,6766558.04,7,7,62,1
2011-01-01,622,6212323.29,7,7,28,1
2011-01-01,623,6430272.98,7,7,11,1
2011-01-01,624,6322484.06,7,7,13,1
2011-01-01,625,4632656.34,7,7,5,1
2011-01-01,626,6506002.73,7,7,51,1
2011-01-01,627,6289879.3,7,7,39,1
2011-01-01,628,5230580.94,7,7,33,1
2011-01-01,629,6343135.05,7,7,52,1
2011-01-01,630,5158477.21,7,7,7,1
2011-01-01,631,4592422.3,7,7,7,1
2011-01-01,632,5484755.18,7,7,37,1
2011-01-01,633,5194825.19,7,7,7,1
2011-01-01,634,4594838.7,7,7,11,1
2011-01-01,638,105761805.03,7,7,73,1
2011-01-01,639,101856792.72,7,7,84,1
2011-01-01,640,98392146.39,7,7,54,1
2011-01-01,641,102718890,7,7,70,1
2011-01-01,642,106098023.87,7,7,79,1
2011-01-01,643,125195911.54,7,7,30,1
2011-01-01,644,97743830.83,7,7,26,1
2011-01-01,645,116002163.17,7,7,76,1
2011-01-01,648,598906.53,7,7,34,1
2011-01-01,649,665409.09,7,7,43,1
2011-01-01,650,535115.6,7,7,16,1
2011-01-01,651,561122.82,7,7,16,1
2011-01-01,652,797527.43,7,7,21,1
2011-01-01,653,508093.17,7,7,10,1
2011-01-01,654,577924.67,7,7,3,1
2011-01-01,655,519154.17,7,7,20,1
2011-01-01,656,563711.4,7,7,15,1
2011-01-01,657,805866.56,7,7,20,1
2011-01-01,672,6167.16,1,1,52,1
2011-01-01,1944,622985.31,7,7,51,1
2011-01-01,2006,6406829.97,7,7,20,1
2011-01-01,2161,209801.18,7,7,14,1
