date,region_id,type_id,average,highest,lowest,volume,order_count
2011-01-01,10000002,34,2.22,2.22,2.21,36747854271,2925
2011-01-01,10000002,35,4.15,4.16,4.13,6632483411,2051
2011-01-01,10000002,36,28.1,28.67,28.03,2211136178,1985
2011-01-01,10000002,37,63.44,63.5,63.05,432613138,1467
2011-01-01,10000002,38,549,553.96,536.87,118198544,1620
2011-01-01,10000002,39,1012,1014,985.03,34253453,1269
2011-01-01,10000002,40,2948,2949.92,2909.04,13509998,1198
2011-01-01,10000002,11399,4277.66,4349.47,4220.05,1870308,441
2011-01-02,10000002,34,2.24,2.25,2.21,36091926065,3578
2011-01-02,10000002,35,4.2,4.23,4.18,8932670136,2591
2011-01-02,10000002,36,28.49,29.09,28.29,2902172370,2352
2011-01-02,10000002,37,66.08,66.44,64.34,541009688,1829
2011-01-02,10000002,38,536.89,536.96,528.51,154298999,2009
2011-01-02,10000002,39,1012.94,1014,989.3,31163268,1558
2011-01-02,10000002,40,3000,3012,2911.97,17541422,1616
2011-01-02,10000002,11399,4276.77,4276.89,4259.91,2703758,502
2011-01-03,10000002,34,2.25,2.29,2.22,42977751274,3556
2011-01-03,10000002,35,4.23,4.32,4.22,7765567308,2637
2011-01-03,10000002,36,28.46,28.99,28.06,2278752703,2379
2011-01-03,10000002,37,65.23,66.14,64.11,487530588,1917
2011-01-03,10000002,38,549.74,549.75,540.12,116623399,1963
2011-01-03,10000002,39,1009.99,1014.95,994.25,32558088,1557
2011-01-03,10000002,40,2971,3010,2912.1,15164344,1567
2011-01-03,10000002,11399,4270.99,4309.97,4171.54,3150686,511
2011-01-04,10000002,34,2.3,2.32,2.26,38773949651,3327
2011-01-04,10000002,35,4.31,4.37,4.23,5558866687,2379
2011-01-04,10000002,36,28.94,29.02,28.18,2278517309,2277
2011-01-04,10000002,37,63.95,65.61,63.53,470525203,1639
2011-01-04,10000002,38,543.64,545.64,540.16,129114136,1779
2011-01-04,10000002,39,1009.98,1029,993.07,37093067,1485
2011-01-04,10000002,40,3000.75,3001.89,2920.01,14282795,1373
2011-01-04,10000002,11399,4169.93,4180,4169.82,2241923,478
2011-01-05,10000002,34,2.37,2.48,2.34,48952045517,3201
2011-01-05,10000002,35,4.4,4.45,4.37,8673767964,2322
2011-01-05,10000002,36,29.14,29.39,28.69,2790834995,2125
2011-01-05,10000002,37,65.93,66.11,64.12,599676863,1626
2011-01-05,10000002,38,542.22,549.55,534.22,193978309,1765
2011-01-05,10000002,39,1023.6,1030.99,995.67,35081091,1410
2011-01-05,10000002,40,2999.84,3012.98,2930.13,14803356,1385
2011-01-05,10000002,11399,4169.5,4169.72,4002.02,1562240,440
2011-01-06,10000002,34,2.4,2.41,2.35,57153672619,3249
2011-01-06,10000002,35,4.38,4.43,4.36,6720337421,2376
2011-01-06,10000002,36,29.19,29.37,28.6,2244653052,2207
2011-01-06,10000002,37,64.9,65.12,64.07,547906998,1551
2011-01-06,10000002,38,546.99,547.95,533.01,120062793,1762
2011-01-06,10000002,39,1022.95,1025.99,999.48,38394864,1357
2011-01-06,10000002,40,3015.99,3020.98,2935.04,13386172,1271
2011-01-06,10000002,11399,4097.98,4099.92,3980.24,1517184,420
2011-01-07,10000002,34,2.37,2.4,2.36,39249986110,3126
2011-01-07,10000002,35,4.39,4.39,4.36,6853230451,2294
2011-01-07,10000002,36,28.77,29.14,28.55,2027511897,2122
2011-01-07,10000002,37,64.17,64.42,63.93,397528034,1550
2011-01-07,10000002,38,548,549,542.99,167337884,1766
2011-01-07,10000002,39,1001.19,1011.72,985.09,30853857,1345
2011-01-07,10000002,40,3010.24,3015,2937.91,12569974,1305
2011-01-07,10000002,11399,4163.94,4164.49,4007.09,1620603,412
2011-01-08,10000002,34,2.36,2.38,2.33,45252564673,3293
2011-01-08,10000002,35,4.39,4.42,4.3,7274161160,2419
2011-01-08,10000002,36,28.2,28.36,27.57,2134189717,2236
2011-01-08,10000002,37,63.93,63.97,63.11,467485609,1626
2011-01-08,10000002,38,545.87,545.89,535.93,125138727,1799
2011-01-08,10000002,39,1011.86,1020.81,990.04,39154100,1520
2011-01-08,10000002,40,3010,3020.24,2945.51,17871548,1428
2011-01-08,10000002,11399,4163.67,4276.67,4068.07,3799484,545
2011-01-09,10000002,34,2.37,2.39,2.34,47176551704,3646
2011-01-09,10000002,35,4.37,4.41,4.32,6323755012,2641
2011-01-09,10000002,36,28.36,28.37,28.14,2121414656,2371
2011-01-09,10000002,37,63.99,64.04,62.86,468015259,1905
2011-01-09,10000002,38,558.94,579.23,549,170947105,2207
2011-01-09,10000002,39,1019.96,1028.97,1007.12,40133828,1641
2011-01-09,10000002,40,3039,3120,3031,14746448,1598
2011-01-09,10000002,11399,4296.8,4297,4161.53,1900109,545
2011-01-10,10000002,34,2.34,2.39,2.33,50871112944,3264
2011-01-10,10000002,35,4.29,4.36,4.28,7298346974,2376
2011-01-10,10000002,36,28.17,28.72,28,1811157441,2183
2011-01-10,10000002,37,63.25,64.91,62.75,446115353,1615
2011-01-10,10000002,38,551.38,566.89,541.67,120716214,1923
2011-01-10,10000002,39,996,1036.95,991.32,36618507,1411
2011-01-10,10000002,40,3010.03,3099.95,2912,13634574,1435
2011-01-10,10000002,11399,4161,4299.99,3978.41,3326611,523
2011-01-11,10000002,34,2.36,2.38,2.33,46366445656,3236
2011-01-11,10000002,35,4.33,4.35,4.29,7639373014,2344
2011-01-11,10000002,36,28.38,28.69,27.99,2064234365,2131
2011-01-11,10000002,37,64.37,64.46,62.95,381776505,1597
2011-01-11,10000002,38,563.99,575,552.56,100490429,1739
2011-01-11,10000002,39,1020.04,1035.98,1007.75,34350218,1459
2011-01-11,10000002,40,3021.03,3080,2990.02,14709936,1367
2011-01-11,10000002,11399,4208.09,4299.93,4107.33,3348119,448
2011-01-12,10000002,34,2.33,2.36,2.32,46061723915,2993
2011-01-12,10000002,35,4.34,4.35,4.33,5901463339,2191
2011-01-12,10000002,36,28.37,28.42,28.06,2037130295,1943
2011-01-12,10000002,37,63.99,64.28,63.57,424775738,1484
2011-01-12,10000002,38,601.78,607.75,587.07,97956514,1761
2011-01-12,10000002,39,1020,1026,1003.76,33206059,1309
2011-01-12,10000002,40,3036.99,3049.98,2990,12732632,1181
2011-01-12,10000002,11399,4202,4299.23,4005.02,2855365,411
2011-01-13,10000002,34,2.32,2.34,2.27,50340611577,2985
2011-01-13,10000002,35,4.32,4.35,4.28,9843244968,2166
2011-01-13,10000002,36,28.18,28.23,27.93,2123340990,2007
2011-01-13,10000002,37,64.08,64.54,63.21,669826521,1574
2011-01-13,10000002,38,581.1,591,576.78,174748238,1827
2011-01-13,10000002,39,1010,1014.97,986.23,42562448,1366
2011-01-13,10000002,40,3019.98,3049.38,2966.02,13909917,1311
2011-01-13,10000002,11399,3998,4099.79,3939.99,1816024,370
2011-01-14,10000002,34,2.3,2.31,2.27,43504030648,3074
2011-01-14,10000002,35,4.24,4.25,4.19,7296791347,2208
2011-01-14,10000002,36,28.65,28.76,28.06,2477892499,2045
2011-01-14,10000002,37,65.7,65.84,64.12,436474439,1549
2011-01-14,10000002,38,574.99,590.99,556.82,176361576,1748
2011-01-14,10000002,39,1003,1006.98,986.05,41429144,1322
2011-01-14,10000002,40,3034,3043.97,2958.04,12386954,1230
2011-01-14,10000002,11399,4099.93,4237.05,3999.71,1456127,378
2011-01-15,10000002,34,2.31,2.32,2.29,44209742252,3492
2011-01-15,10000002,35,4.28,4.3,4.26,7046096419,2427
2011-01-15,10000002,36,28.99,29.14,28.25,2697213377,2254
2011-01-15,10000002,37,65.92,66.05,64.07,538691440,1744
2011-01-15,10000002,38,558.02,581.9,556.93,232239158,1917
2011-01-15,10000002,39,997.06,1028.67,995.3,34019454,1460
2011-01-15,10000002,40,3068.98,3125.94,2991,15263027,1453
2011-01-15,10000002,11399,4233.79,4234.65,4130.12,2713361,482
2011-01-16,10000002,34,2.33,2.35,2.3,44375314723,3692
2011-01-16,10000002,35,4.3,4.32,4.28,7598814085,2794
2011-01-16,10000002,36,28.96,29.48,28.64,2770382155,2610
2011-01-16,10000002,37,65.01,66.21,64.23,457821962,1922
2011-01-16,10000002,38,564.75,568.99,540,120826863,2105
2011-01-16,10000002,39,987.73,1018.91,985.11,44445707,1590
2011-01-16,10000002,40,3021.02,3072.92,3008.16,18963987,1569
2011-01-16,10000002,11399,3999,4100.05,3954.03,3383095,532
2011-01-17,10000002,34,2.34,2.37,2.32,41248112208,3043
2011-01-17,10000002,35,4.3,4.33,4.2,6083109508,2201
2011-01-17,10000002,36,28.94,29.19,28.32,2686745274,2026
2011-01-17,10000002,37,66,66.25,65,435135687,1540
2011-01-17,10000002,38,550.05,563,542.01,87999184,1631
2011-01-17,10000002,39,1012.87,1015,988.27,25164702,1299
2011-01-17,10000002,40,3100.31,3140,3035,11211619,1319
2011-01-17,10000002,11399,4189.42,4199.98,4050.08,1808567,420
2011-01-18,10000002,34,2.31,2.33,2.3,13686487938,1553
2011-01-18,10000002,35,4.29,4.33,4.19,3848527553,1149
2011-01-18,10000002,36,28.19,28.31,27.47,887724047,1043
2011-01-18,10000002,37,65,66.57,64.85,245833594,787
2011-01-18,10000002,38,555.21,555.35,539.26,37549352,857
2011-01-18,10000002,39,1011.97,1012,988.1,17098175,667
2011-01-18,10000002,40,3090.08,3144.74,3030.71,5700241,695
2011-01-18,10000002,11399,4189.27,4189.31,3969.43,952116,204
2011-01-19,10000002,34,2.32,2.33,2.29,40026475701,2850
2011-01-19,10000002,35,4.3,4.32,4.23,6996363125,2027
2011-01-19,10000002,36,28.27,28.96,28.03,2124027422,1887
2011-01-19,10000002,37,65.77,65.94,65.25,435910190,1458
2011-01-19,10000002,38,554.88,569.99,543.51,78124378,1635
2011-01-19,10000002,39,1012,1021.96,992.1,36025924,1189
2011-01-19,10000002,40,3136.99,3138.95,3021.24,17813242,1227
2011-01-19,10000002,11399,4040.21,4203.49,4040.12,1650793,332
2011-01-20,10000002,34,2.33,2.34,2.32,38049832578,2861
2011-01-20,10000002,35,4.33,4.36,4.29,7698121756,2098
2011-01-20,10000002,36,28.88,28.94,28.14,2529859200,2004
2011-01-20,10000002,37,65.46,65.93,64.27,502340650,1558
2011-01-20,10000002,38,569.99,578.93,550.04,118909223,1738
2011-01-20,10000002,39,985.87,1023.8,984.77,39345018,1331
2011-01-20,10000002,40,3010.88,3125,3005.01,16617493,1269
2011-01-20,10000002,11399,3977.49,4148.99,3963.21,1890251,372
2011-01-21,10000002,34,2.36,2.38,2.34,38988878403,2889
2011-01-21,10000002,35,4.36,4.46,4.32,8883199630,2025
2011-01-21,10000002,36,28.52,28.91,28.45,1707479186,1842
2011-01-21,10000002,37,65.66,65.75,65.35,335969721,1403
2011-01-21,10000002,38,563.52,568.97,555.12,164334525,1653
2011-01-21,10000002,39,1004,1014,995.24,34280166,1224
2011-01-21,10000002,40,3047.06,3083,3035.07,10940075,1161
2011-01-21,10000002,11399,3941.52,4099.75,3904.01,1751013,353
2011-01-22,10000002,34,2.37,2.38,2.35,40347637651,3891
2011-01-22,10000002,35,4.33,4.45,4.29,7588421607,2742
2011-01-22,10000002,36,28.9,28.94,28.46,2066021175,2430
2011-01-22,10000002,37,65.5,65.6,64.5,464541228,1927
2011-01-22,10000002,38,559.96,564.29,554.48,127011165,2077
2011-01-22,10000002,39,1001.99,1004.89,1000.99,39918302,1643
2011-01-22,10000002,40,3099.02,3111.92,3043,13765319,1489
2011-01-22,10000002,11399,4089.99,4094.48,4088.56,1300573,420
2011-01-23,10000002,34,2.47,2.55,2.4,48834484623,4477
2011-01-23,10000002,35,4.41,4.44,4.34,12370505439,3223
2011-01-23,10000002,36,28.95,29.37,28.5,3411386095,2763
2011-01-23,10000002,37,65.45,65.54,63.96,541553634,2129
2011-01-23,10000002,38,557.83,559.85,540.02,128202454,2272
2011-01-23,10000002,39,1014.99,1018,990,53135012,1760
2011-01-23,10000002,40,3029,3105,3005,23519417,1762
2011-01-23,10000002,11399,4058.81,4078.99,3970.18,2225557,527
2011-01-24,10000002,34,2.51,2.58,2.48,44827441552,3723
2011-01-24,10000002,35,4.41,4.46,4.3,7650807323,2558
2011-01-24,10000002,36,29.07,29.73,28.73,2503428892,2336
2011-01-24,10000002,37,66.98,67.04,65.27,452187819,1739
2011-01-24,10000002,38,547.97,553.4,540,98766337,1930
