type_id,type_name,group_id,snapshot
582,,,2014-07-10
583,,,2014-07-10
584,,,2014-07-10
585,,,2014-07-10
586,,,2014-07-10
587,,,2014-07-10
588,,,2014-07-10
589,,,2014-07-10
590,,,2014-07-10
591,,,2014-07-10
592,,,2014-07-10
593,,,2014-07-10
594,,,2014-07-10
596,,,2014-07-10
597,,,2014-07-10
598,,,2014-07-10
599,,,2014-07-10
601,,,2014-07-10
602,,,2014-07-10
603,,,2014-07-10
605,,,2014-07-10
606,,,2014-07-10
607,,,2014-07-10
608,,,2014-07-10
609,,,2014-07-10
615,,,2014-07-10
617,,,2014-07-10
620,,,2014-07-10
621,,,2014-07-10
622,,,2014-07-10
623,,,2014-07-10
624,,,2014-07-10
625,,,2014-07-10
626,,,2014-07-10
627,,,2014-07-10
628,,,2014-07-10
629,,,2014-07-10
630,,,2014-07-10
631,,,2014-07-10
632,,,2014-07-10
633,,,2014-07-10
634,,,2014-07-10
638,,,2014-07-10
639,,,2014-07-10
640,,,2014-07-10
641,,,2014-07-10
642,,,2014-07-10
643,,,2014-07-10
644,,,2014-07-10
645,,,2014-07-10
648,,,2014-07-10
649,,,2014-07-10
650,,,2014-07-10
651,,,2014-07-10
652,,,2014-07-10
653,,,2014-07-10
654,,,2014-07-10
655,,,2014-07-10
656,,,2014-07-10
657,,,2014-07-10
670,,,2014-07-10
671,,,2014-07-10
672,,,2014-07-10
1916,,,2014-07-10
1944,,,2014-07-10
2006,,,2014-07-10
2078,,,2014-07-10
2161,,,2014-07-10
2233,,,2014-07-10
2834,,,2014-07-10
2836,,,2014-07-10
2863,,,2014-07-10
2948,,,2014-07-10
2998,,,2014-07-10
3514,,,2014-07-10
3516,,,2014-07-10
3518,,,2014-07-10
3532,,,2014-07-10
3628,,,2014-07-10
3756,,,2014-07-10
3764,,,2014-07-10
3766,,,2014-07-10
3962,,,2014-07-10
4005,,,2014-07-10
4302,,,2014-07-10
4306,,,2014-07-10
4308,,,2014-07-10
4310,,,2014-07-10
4318,,,2014-07-10
4363,,,2014-07-10
4388,,,2014-07-10
9854,,,2014-07-10
11019,,,2014-07-10
11129,,,2014-07-10
11132,,,2014-07-10
11134,,,2014-07-10
11172,,,2014-07-10
11174,,,2014-07-10
11176,,,2014-07-10
11178,,,2014-07-10
11182,,,2014-07-10
11184,,,2014-07-10
11186,,,2014-07-10
11188,,,2014-07-10
11190,,,2014-07-10
11192,,,2014-07-10
11194,,,2014-07-10
11196,,,2014-07-10
11198,,,2014-07-10
11200,,,2014-07-10
11202,,,2014-07-10
11365,,,2014-07-10
11371,,,2014-07-10
11377,,,2014-07-10
11379,,,2014-07-10
11381,,,2014-07-10
11387,,,2014-07-10
11393,,,2014-07-10
11400,,,2014-07-10
11567,,,2014-07-10
11940,,,2014-07-10
11942,,,2014-07-10
11957,,,2014-07-10
11959,,,2014-07-10
11961,,,2014-07-10
11963,,,2014-07-10
11965,,,2014-07-10
11969,,,2014-07-10
11971,,,2014-07-10
11978,,,2014-07-10
11985,,,2014-07-10
11987,,,2014-07-10
11989,,,2014-07-10
11993,,,2014-07-10
11995,,,2014-07-10
11999,,,2014-07-10
12003,,,2014-07-10
12005,,,2014-07-10
12011,,,2014-07-10
12013,,,2014-07-10
12015,,,2014-07-10
12017,,,2014-07-10
12019,,,2014-07-10
12021,,,2014-07-10
12023,,,2014-07-10
12032,,,2014-07-10
12034,,,2014-07-10
12038,,,2014-07-10
12042,,,2014-07-10
12044,,,2014-07-10
12198,,,2014-07-10
12199,,,2014-07-10
12200,,,2014-07-10
12235,,,2014-07-10
12236,,,2014-07-10
12237,,,2014-07-10
12238,,,2014-07-10
12239,,,2014-07-10
12729,,,2014-07-10
12731,,,2014-07-10
12733,,,2014-07-10
12735,,,2014-07-10
12743,,,2014-07-10
12745,,,2014-07-10
12747,,,2014-07-10
12753,,,2014-07-10
13780,,,2014-07-10
14343,,,2014-07-10
16213,,,2014-07-10
16214,,,2014-07-10
16216,,,2014-07-10
16217,,,2014-07-10
16220,,,2014-07-10
16221,,,2014-07-10
16227,,,2014-07-10
16229,,,2014-07-10
16231,,,2014-07-10
16233,,,2014-07-10
16236,,,2014-07-10
16238,,,2014-07-10
16240,,,2014-07-10
16242,,,2014-07-10
16631,,,2014-07-10
16688,,,2014-07-10
16689,,,2014-07-10
16690,,,2014-07-10
16691,,,2014-07-10
16692,,,2014-07-10
16694,,,2014-07-10
16696,,,2014-07-10
16697,,,2014-07-10
16869,,,2014-07-10
17167,,,2014-07-10
17168,,,2014-07-10
17174,,,2014-07-10
17175,,,2014-07-10
17176,,,2014-07-10
17177,,,2014-07-10
17178,,,2014-07-10
17180,,,2014-07-10
17181,,,2014-07-10
17182,,,2014-07-10
17184,,,2014-07-10
17185,,,2014-07-10
17186,,,2014-07-10
17187,,,2014-07-10
17402,,,2014-07-10
17403,,,2014-07-10
17404,,,2014-07-10
17406,,,2014-07-10
17407,,,2014-07-10
17408,,,2014-07-10
17476,,,2014-07-10
17478,,,2014-07-10
17480,,,2014-07-10
17619,,,2014-07-10
17621,,,2014-07-10
17634,,,2014-07-10
17636,,,2014-07-10
17701,,,2014-07-10
17703,,,2014-07-10
17709,,,2014-07-10
17713,,,2014-07-10
17715,,,2014-07-10
17718,,,2014-07-10
17720,,,2014-07-10
17722,,,2014-07-10
17726,,,2014-07-10
17728,,,2014-07-10
17732,,,2014-07-10
17736,,,2014-07-10
17738,,,2014-07-10
17740,,,2014-07-10
17770,,,2014-07-10
17771,,,2014-07-10
17772,,,2014-07-10
17773,,,2014-07-10
17812,,,2014-07-10
17841,,,2014-07-10
17843,,,2014-07-10
17918,,,2014-07-10
17920,,,2014-07-10
17922,,,2014-07-10
17924,,,2014-07-10
17926,,,2014-07-10
17928,,,2014-07-10
17930,,,2014-07-10
17932,,,2014-07-10
17982,,,2014-07-10
19470,,,2014-07-10
19720,,,2014-07-10
19722,,,2014-07-10
19724,,,2014-07-10
19726,,,2014-07-10
19744,,,2014-07-10
20059,,,2014-07-10
20060,,,2014-07-10
20061,,,2014-07-10
20062,,,2014-07-10
20063,,,2014-07-10
20064,,,2014-07-10
20065,,,2014-07-10
20066,,,2014-07-10
20125,,,2014-07-10
20175,,,2014-07-10
20183,,,2014-07-10
20185,,,2014-07-10
20187,,,2014-07-10
20189,,,2014-07-10
21097,,,2014-07-10
21628,,,2014-07-10
22428,,,2014-07-10
22430,,,2014-07-10
22436,,,2014-07-10
22440,,,2014-07-10
