type_id,type_name,group_id,group_name
582,Bantam,25,Frigate
583,Condor,25,Frigate
584,Griffin,25,Frigate
585,Slasher,25,Frigate
586,Probe,25,Frigate
587,Rifter,25,Frigate
588,Reaper,237,Corvette
589,Executioner,25,Frigate
590,Inquisitor,25,Frigate
591,Tormentor,25,Frigate
592,Navitas,25,Frigate
593,Tristan,25,Frigate
594,Incursus,25,Frigate
596,Impairor,237,Corvette
597,Punisher,25,Frigate
598,Breacher,25,Frigate
599,Burst,25,Frigate
601,Ibis,237,Corvette
602,Kestrel,25,Frigate
603,Merlin,25,Frigate
605,Heron,25,Frigate
606,Velator,237,Corvette
607,Imicus,25,Frigate
608,Atron,25,Frigate
609,Maulus,25,Frigate
615,Immolator,237,Corvette
617,Echo,237,Corvette
620,Osprey,26,Cruiser
621,Caracal,26,Cruiser
622,Stabber,26,Cruiser
623,Moa,26,Cruiser
624,Maller,26,Cruiser
625,Augoror,26,Cruiser
626,Vexor,26,Cruiser
627,Thorax,26,Cruiser
628,Arbitrator,26,Cruiser
629,Rupture,26,Cruiser
630,Bellicose,26,Cruiser
631,Scythe,26,Cruiser
632,Blackbird,26,Cruiser
633,Celestis,26,Cruiser
634,Exequror,26,Cruiser
638,Raven,27,Battleship
639,Tempest,27,Battleship
640,Scorpion,27,Battleship
641,Megathron,27,Battleship
642,Apocalypse,27,Battleship
643,Armageddon,27,Battleship
644,Typhoon,27,Battleship
645,Dominix,27,Battleship
648,Badger,28,Hauler
649,Tayra,28,Hauler
650,Nereus,28,Hauler
651,Hoarder,28,Hauler
652,Mammoth,28,Hauler
653,Wreathe,28,Hauler
654,Kryos,28,Hauler
655,Epithal,28,Hauler
656,Miasmos,28,Hauler
657,Iteron Mark V,28,Hauler
670,Capsule,29,Capsule
671,Erebus,30,Titan
672,Caldari Shuttle,31,Shuttle
1916,Concord SWAT Battleship,27,Battleship
1944,Bestower,28,Hauler
2006,Omen,26,Cruiser
2078,Zephyr,1022,Prototype Exploration Ship
2161,Crucifier,25,Frigate
2233,Customs Office,1025,Orbital Infrastructure
2834,Utu,324,Assault Frigate
2836,Adrestia,358,Heavy Assault Cruiser
2863,Primae,28,Hauler
2948,Shadow,1653,Heavy Fighter
2998,Noctis,28,Hauler
3514,Revenant,659,Supercarrier
3516,Malice,324,Assault Frigate
3518,Vangel,358,Heavy Assault Cruiser
3532,Echelon,25,Frigate
3628,Nation,659,Supercarrier
3756,Gnosis,419,Combat Battlecruiser
3764,Leviathan,30,Titan
3766,Vigil,25,Frigate
3962,Customs Office Gantry,1106,Orbital Construction Platform
4005,Scorpion Ishukone Watch,27,Battleship
