type_id,type_name,group_id,snapshot
582,Bantam,25,20180110
583,Condor,25,20180110
584,Griffin,25,20180110
585,Slasher,25,20180110
586,Probe,25,20180110
587,Rifter,25,20180110
588,Reaper,237,20180110
589,Executioner,25,20180110
590,Inquisitor,25,20180110
591,Tormentor,25,20180110
592,Navitas,25,20180110
593,Tristan,25,20180110
594,Incursus,25,20180110
596,Impairor,237,20180110
597,Punisher,25,20180110
598,Breacher,25,20180110
599,Burst,25,20180110
601,Ibis,237,20180110
602,Kestrel,25,20180110
603,Merlin,25,20180110
605,Heron,25,20180110
606,Velator,237,20180110
607,Imicus,25,20180110
608,Atron,25,20180110
609,Maulus,25,20180110
615,Immolator,237,20180110
617,Echo,237,20180110
620,Osprey,26,20180110
621,Caracal,26,20180110
622,Stabber,26,20180110
623,Moa,26,20180110
624,Maller,26,20180110
625,Augoror,26,20180110
626,Vexor,26,20180110
627,Thorax,26,20180110
628,Arbitrator,26,20180110
629,Rupture,26,20180110
630,Bellicose,26,20180110
631,Scythe,26,20180110
632,Blackbird,26,20180110
633,Celestis,26,20180110
634,Exequror,26,20180110
638,Raven,27,20180110
639,Tempest,27,20180110
640,Scorpion,27,20180110
641,Megathron,27,20180110
642,Apocalypse,27,20180110
643,Armageddon,27,20180110
644,Typhoon,27,20180110
645,Dominix,27,20180110
648,Badger,28,20180110
649,Tayra,28,20180110
650,Nereus,28,20180110
651,Hoarder,28,20180110
652,Mammoth,28,20180110
653,Wreathe,28,20180110
654,Kryos,28,20180110
655,Epithal,28,20180110
656,Miasmos,28,20180110
657,Iteron Mark V,28,20180110
670,Capsule,29,20180110
671,Erebus,30,20180110
672,Caldari Shuttle,31,20180110
1916,Concord SWAT Battleship,27,20180110
1944,Bestower,28,20180110
2006,Omen,26,20180110
2078,Zephyr,1022,20180110
2161,Crucifier,25,20180110
2233,Customs Office,1025,20180110
2834,Utu,324,20180110
2836,Adrestia,358,20180110
2863,Primae,28,20180110
2948,Shadow,1653,20180110
2998,Noctis,28,20180110
3514,Revenant,659,20180110
3516,Malice,324,20180110
3518,Vangel,358,20180110
3532,Echelon,25,20180110
3628,Nation,659,20180110
3756,Gnosis,419,20180110
3764,Leviathan,30,20180110
3766,Vigil,25,20180110
3962,Customs Office Gantry,1106,20180110
4005,Scorpion Ishukone Watch,27,20180110
4302,Oracle,1201,20180110
4306,Naga,1201,20180110
4308,Talos,1201,20180110
4310,Tornado,1201,20180110
4318,InterBus Customs Office,1025,20180110
4363,Miasmos Quafe Ultra Edition,28,20180110
4388,Miasmos Quafe Ultramarine Edition,28,20180110
9854,Polaris Inspector Frigate,237,20180110
11019,Cockroach,25,20180110
11129,Gallente Shuttle,31,20180110
11132,Minmatar Shuttle,31,20180110
11134,Amarr Shuttle,31,20180110
11172,Helios,830,20180110
11174,Keres,893,20180110
11176,Crow,831,20180110
11178,Raptor,831,20180110
11182,Cheetah,830,20180110
11184,Crusader,831,20180110
11186,Malediction,831,20180110
11188,Anathema,830,20180110
11190,Sentinel,893,20180110
11192,Buzzard,830,20180110
11194,Kitsune,893,20180110
11196,Claw,831,20180110
11198,Stiletto,831,20180110
11200,Taranis,831,20180110
11202,Ares,831,20180110
11365,Vengeance,324,20180110
11371,Wolf,324,20180110
11377,Nemesis,834,20180110
11379,Hawk,324,20180110
11381,Harpy,324,20180110
11387,Hyena,893,20180110
11393,Retribution,324,20180110
11400,Jaguar,324,20180110
11567,Avatar,30,20180110
11940,Gold Magnate,25,20180110
11942,Silver Magnate,25,20180110
11957,Falcon,833,20180110
11959,Rook,906,20180110
11961,Huginn,906,20180110
11963,Rapier,833,20180110
11965,Pilgrim,833,20180110
11969,Arazu,833,20180110
11971,Lachesis,906,20180110
11978,Scimitar,832,20180110
11985,Basilisk,832,20180110
11987,Guardian,832,20180110
11989,Oneiros,832,20180110
11993,Cerberus,358,20180110
11995,Onyx,894,20180110
11999,Vagabond,358,20180110
12003,Zealot,358,20180110
12005,Ishtar,358,20180110
12011,Eagle,358,20180110
12013,Broadsword,894,20180110
12015,Muninn,358,20180110
12017,Devoter,894,20180110
12019,Sacrilege,358,20180110
12021,Phobos,894,20180110
12023,Deimos,358,20180110
12032,Manticore,834,20180110
12034,Hound,834,20180110
12038,Purifier,834,20180110
12042,Ishkur,324,20180110
12044,Enyo,324,20180110
12198,Mobile Small Warp Disruptor I,361,20180110
12199,Mobile Medium Warp Disruptor I,361,20180110
12200,Mobile Large Warp Disruptor I,361,20180110
12235,Amarr Control Tower,365,20180110
12236,Gallente Control Tower,365,20180110
12237,Ship Maintenance Array,363,20180110
12238,Reprocessing Array,311,20180110
12239,Compression Array,1282,20180110
12729,Crane,1202,20180110
12731,Bustard,380,20180110
12733,Prorator,1202,20180110
12735,Prowler,1202,20180110
12743,Viator,1202,20180110
12745,Occator,380,20180110
12747,Mastodon,380,20180110
12753,Impel,380,20180110
13780,Equipment Assembly Array,397,20180110
14343,Silo,404,20180110
16213,Caldari Control Tower,365,20180110
16214,Minmatar Control Tower,365,20180110
16216,Research Laboratory,413,20180110
16217,Small Auxiliary Power Array,414,20180110
16220,Rapid Equipment Assembly Array,397,20180110
16221,Moon Harvesting Array,416,20180110
16227,Ferox,419,20180110
16229,Brutix,419,20180110
16231,Cyclone,419,20180110
16233,Prophecy,419,20180110
16236,Coercer,420,20180110
16238,Cormorant,420,20180110
16240,Catalyst,420,20180110
16242,Thrasher,420,20180110
16631,Small Artillery Battery,426,20180110
16688,Medium Artillery Battery,426,20180110
16689,Large Artillery Battery,426,20180110
16690,Small Railgun Battery,449,20180110
16691,Medium Railgun Battery,449,20180110
16692,Large Railgun Battery,449,20180110
16694,Large Beam Laser Battery,430,20180110
16696,Cruise Missile Battery,417,20180110
16697,Torpedo Battery,417,20180110
16869,Complex Reactor Array,438,20180110
17167,Small Beam Laser Battery,430,20180110
17168,Medium Beam Laser Battery,430,20180110
17174,Ion Field Projection Battery,439,20180110
17175,Phase Inversion Battery,439,20180110
17176,Spatial Destabilization Battery,439,20180110
17177,White Noise Generation Battery,439,20180110
17178,Stasis Webification Battery,441,20180110
17180,Sensor Dampening Battery,440,20180110
17181,Warp Disruption Battery,443,20180110
17182,Warp Scrambling Battery,443,20180110
17184,Ballistic Deflection Array,444,20180110
17185,Explosion Dampening Array,444,20180110
17186,Heat Dissipation Array,444,20180110
17187,Photon Scattering Array,444,20180110
17402,Large Blaster Battery,449,20180110
17403,Medium Blaster Battery,449,20180110
17404,Small Blaster Battery,449,20180110
17406,Large Pulse Laser Battery,430,20180110
17407,Medium Pulse Laser Battery,430,20180110
17408,Small Pulse Laser Battery,430,20180110
17476,Covetor,463,20180110
17478,Retriever,463,20180110
17480,Procurer,463,20180110
17619,Caldari Navy Hookbill,25,20180110
17621,Corporate Hangar Array,471,20180110
17634,Caracal Navy Issue,26,20180110
17636,Raven Navy Issue,27,20180110
17701,Tracking Array,473,20180110
17703,Imperial Navy Slicer,25,20180110
17709,Omen Navy Issue,26,20180110
17713,Stabber Fleet Issue,26,20180110
17715,Gila,26,20180110
17718,Phantasm,26,20180110
17720,Cynabal,26,20180110
17722,Vigilant,26,20180110
17726,Apocalypse Navy Issue,27,20180110
17728,Megathron Navy Issue,27,20180110
17732,Tempest Fleet Issue,27,20180110
17736,Nightmare,27,20180110
17738,Machariel,27,20180110
17740,Vindicator,27,20180110
17770,Large AutoCannon Battery,426,20180110
17771,Medium AutoCannon Battery,426,20180110
17772,Small AutoCannon Battery,426,20180110
17773,XL Torpedo Battery,417,20180110
17812,Republic Fleet Firetail,25,20180110
17841,Federation Navy Comet,25,20180110
17843,Vexor Navy Issue,26,20180110
17918,Rattlesnake,27,20180110
17920,Bhaalgorn,27,20180110
17922,Ashimmu,26,20180110
17924,Succubus,25,20180110
17926,Cruor,25,20180110
17928,Daredevil,25,20180110
17930,Worm,25,20180110
17932,Dramiel,25,20180110
17982,Coupling Array,404,20180110
