type_id,type_name,group_id,snapshot,group_name
582,Bantam,25,20180110,Frigate
583,Condor,25,20180110,Frigate
584,Griffin,25,20180110,Frigate
585,Slasher,25,20180110,Frigate
586,Probe,25,20180110,Frigate
587,Rifter,25,20180110,Frigate
588,Reaper,237,20180110,Corvette
589,Executioner,25,20180110,Frigate
590,Inquisitor,25,20180110,Frigate
591,Tormentor,25,20180110,Frigate
592,Navitas,25,20180110,Frigate
593,Tristan,25,20180110,Frigate
594,Incursus,25,20180110,Frigate
596,Impairor,237,20180110,Corvette
597,Punisher,25,20180110,Frigate
598,Breacher,25,20180110,Frigate
599,Burst,25,20180110,Frigate
601,Ibis,237,20180110,Corvette
602,Kestrel,25,20180110,Frigate
603,Merlin,25,20180110,Frigate
605,Heron,25,20180110,Frigate
606,Velator,237,20180110,Corvette
607,Imicus,25,20180110,Frigate
608,Atron,25,20180110,Frigate
609,Maulus,25,20180110,Frigate
615,Immolator,237,20180110,Corvette
617,Echo,237,20180110,Corvette
620,Osprey,26,20180110,Cruiser
621,Caracal,26,20180110,Cruiser
622,Stabber,26,20180110,Cruiser
623,Moa,26,20180110,Cruiser
624,Maller,26,20180110,Cruiser
625,Augoror,26,20180110,Cruiser
626,Vexor,26,20180110,Cruiser
627,Thorax,26,20180110,Cruiser
628,Arbitrator,26,20180110,Cruiser
629,Rupture,26,20180110,Cruiser
630,Bellicose,26,20180110,Cruiser
631,Scythe,26,20180110,Cruiser
632,Blackbird,26,20180110,Cruiser
633,Celestis,26,20180110,Cruiser
634,Exequror,26,20180110,Cruiser
638,Raven,27,20180110,Battleship
639,Tempest,27,20180110,Battleship
640,Scorpion,27,20180110,Battleship
641,Megathron,27,20180110,Battleship
642,Apocalypse,27,20180110,Battleship
643,Armageddon,27,20180110,Battleship
644,Typhoon,27,20180110,Battleship
645,Dominix,27,20180110,Battleship
648,Badger,28,20180110,Hauler
649,Tayra,28,20180110,Hauler
650,Nereus,28,20180110,Hauler
651,Hoarder,28,20180110,Hauler
652,Mammoth,28,20180110,Hauler
653,Wreathe,28,20180110,Hauler
654,Kryos,28,20180110,Hauler
655,Epithal,28,20180110,Hauler
656,Miasmos,28,20180110,Hauler
657,Iteron Mark V,28,20180110,Hauler
670,Capsule,29,20180110,Capsule
671,Erebus,30,20180110,Titan
672,Caldari Shuttle,31,20180110,Shuttle
1916,Concord SWAT Battleship,27,20180110,Battleship
1944,Bestower,28,20180110,Hauler
2006,Omen,26,20180110,Cruiser
2078,Zephyr,1022,20180110,Prototype Exploration Ship
2161,Crucifier,25,20180110,Frigate
2233,Customs Office,1025,20180110,Orbital Infrastructure
2834,Utu,324,20180110,Assault Frigate
2836,Adrestia,358,20180110,Heavy Assault Cruiser
2863,Primae,28,20180110,Hauler
2948,Shadow,1653,20180110,Heavy Fighter
2998,Noctis,28,20180110,Hauler
3514,Revenant,659,20180110,Supercarrier
3516,Malice,324,20180110,Assault Frigate
3518,Vangel,358,20180110,Heavy Assault Cruiser
3532,Echelon,25,20180110,Frigate
3628,Nation,659,20180110,Supercarrier
3756,Gnosis,419,20180110,Combat Battlecruiser
3764,Leviathan,30,20180110,Titan
3766,Vigil,25,20180110,Frigate
3962,Customs Office Gantry,1106,20180110,Orbital Construction Platform
4005,Scorpion Ishukone Watch,27,20180110,Battleship
4302,Oracle,1201,20180110,Attack Battlecruiser
4306,Naga,1201,20180110,Attack Battlecruiser
4308,Talos,1201,20180110,Attack Battlecruiser
4310,Tornado,1201,20180110,Attack Battlecruiser
4318,InterBus Customs Office,1025,20180110,Orbital Infrastructure
4363,Miasmos Quafe Ultra Edition,28,20180110,Hauler
4388,Miasmos Quafe Ultramarine Edition,28,20180110,Hauler
9854,Polaris Inspector Frigate,237,20180110,Corvette
11019,Cockroach,25,20180110,Frigate
11129,Gallente Shuttle,31,20180110,Shuttle
11132,Minmatar Shuttle,31,20180110,Shuttle
11134,Amarr Shuttle,31,20180110,Shuttle
11172,Helios,830,20180110,Covert Ops
11174,Keres,893,20180110,Electronic Attack Ship
11176,Crow,831,20180110,Interceptor
11178,Raptor,831,20180110,Interceptor
11182,Cheetah,830,20180110,Covert Ops
11184,Crusader,831,20180110,Interceptor
11186,Malediction,831,20180110,Interceptor
11188,Anathema,830,20180110,Covert Ops
11190,Sentinel,893,20180110,Electronic Attack Ship
11192,Buzzard,830,20180110,Covert Ops
11194,Kitsune,893,20180110,Electronic Attack Ship
11196,Claw,831,20180110,Interceptor
11198,Stiletto,831,20180110,Interceptor
11200,Taranis,831,20180110,Interceptor
11202,Ares,831,20180110,Interceptor
11365,Vengeance,324,20180110,Assault Frigate
11371,Wolf,324,20180110,Assault Frigate
11377,Nemesis,834,20180110,Stealth Bomber
11379,Hawk,324,20180110,Assault Frigate
11381,Harpy,324,20180110,Assault Frigate
11387,Hyena,893,20180110,Electronic Attack Ship
11393,Retribution,324,20180110,Assault Frigate
11400,Jaguar,324,20180110,Assault Frigate
11567,Avatar,30,20180110,Titan
11940,Gold Magnate,25,20180110,Frigate
11942,Silver Magnate,25,20180110,Frigate
11957,Falcon,833,20180110,Force Recon Ship
11959,Rook,906,20180110,Combat Recon Ship
11961,Huginn,906,20180110,Combat Recon Ship
11963,Rapier,833,20180110,Force Recon Ship
11965,Pilgrim,833,20180110,Force Recon Ship
11969,Arazu,833,20180110,Force Recon Ship
11971,Lachesis,906,20180110,Combat Recon Ship
11978,Scimitar,832,20180110,Logistics
11985,Basilisk,832,20180110,Logistics
11987,Guardian,832,20180110,Logistics
11989,Oneiros,832,20180110,Logistics
11993,Cerberus,358,20180110,Heavy Assault Cruiser
11995,Onyx,894,20180110,Heavy Interdiction Cruiser
11999,Vagabond,358,20180110,Heavy Assault Cruiser
12003,Zealot,358,20180110,Heavy Assault Cruiser
12005,Ishtar,358,20180110,Heavy Assault Cruiser
12011,Eagle,358,20180110,Heavy Assault Cruiser
12013,Broadsword,894,20180110,Heavy Interdiction Cruiser
12015,Muninn,358,20180110,Heavy Assault Cruiser
12017,Devoter,894,20180110,Heavy Interdiction Cruiser
12019,Sacrilege,358,20180110,Heavy Assault Cruiser
12021,Phobos,894,20180110,Heavy Interdiction Cruiser
12023,Deimos,358,20180110,Heavy Assault Cruiser
12032,Manticore,834,20180110,Stealth Bomber
12034,Hound,834,20180110,Stealth Bomber
12038,Purifier,834,20180110,Stealth Bomber
12042,Ishkur,324,20180110,Assault Frigate
12044,Enyo,324,20180110,Assault Frigate
12198,Mobile Small Warp Disruptor I,361,20180110,Mobile Warp Disruptor
12199,Mobile Medium Warp Disruptor I,361,20180110,Mobile Warp Disruptor
12200,Mobile Large Warp Disruptor I,361,20180110,Mobile Warp Disruptor
12235,Amarr Control Tower,365,20180110,Control Tower
12236,Gallente Control Tower,365,20180110,Control Tower
12237,Ship Maintenance Array,363,20180110,Ship Maintenance Array
12238,Reprocessing Array,311,20180110,Reprocessing Array
12239,Compression Array,1282,20180110,Compression Array
12729,Crane,1202,20180110,Blockade Runner
12731,Bustard,380,20180110,Deep Space Transport
12733,Prorator,1202,20180110,Blockade Runner
12735,Prowler,1202,20180110,Blockade Runner
12743,Viator,1202,20180110,Blockade Runner
12745,Occator,380,20180110,Deep Space Transport
12747,Mastodon,380,20180110,Deep Space Transport
12753,Impel,380,20180110,Deep Space Transport
13780,Equipment Assembly Array,397,20180110,Assembly Array
14343,Silo,404,20180110,Silo
16213,Caldari Control Tower,365,20180110,Control Tower
16214,Minmatar Control Tower,365,20180110,Control Tower
16216,Research Laboratory,413,20180110,Laboratory
16217,Small Auxiliary Power Array,414,20180110,Mobile Power Core
16220,Rapid Equipment Assembly Array,397,20180110,Assembly Array
16221,Moon Harvesting Array,416,20180110,Moon Mining
16227,Ferox,419,20180110,Combat Battlecruiser
16229,Brutix,419,20180110,Combat Battlecruiser
16231,Cyclone,419,20180110,Combat Battlecruiser
16233,Prophecy,419,20180110,Combat Battlecruiser
16236,Coercer,420,20180110,Destroyer
16238,Cormorant,420,20180110,Destroyer
16240,Catalyst,420,20180110,Destroyer
16242,Thrasher,420,20180110,Destroyer
16631,Small Artillery Battery,426,20180110,Mobile Projectile Sentry
16688,Medium Artillery Battery,426,20180110,Mobile Projectile Sentry
16689,Large Artillery Battery,426,20180110,Mobile Projectile Sentry
16690,Small Railgun Battery,449,20180110,Mobile Hybrid Sentry
16691,Medium Railgun Battery,449,20180110,Mobile Hybrid Sentry
16692,Large Railgun Battery,449,20180110,Mobile Hybrid Sentry
16694,Large Beam Laser Battery,430,20180110,Mobile Laser Sentry
16696,Cruise Missile Battery,417,20180110,Mobile Missile Sentry
16697,Torpedo Battery,417,20180110,Mobile Missile Sentry
16869,Complex Reactor Array,438,20180110,Mobile Reactor
17167,Small Beam Laser Battery,430,20180110,Mobile Laser Sentry
17168,Medium Beam Laser Battery,430,20180110,Mobile Laser Sentry
17174,Ion Field Projection Battery,439,20180110,Electronic Warfare Battery
17175,Phase Inversion Battery,439,20180110,Electronic Warfare Battery
17176,Spatial Destabilization Battery,439,20180110,Electronic Warfare Battery
17177,White Noise Generation Battery,439,20180110,Electronic Warfare Battery
17178,Stasis Webification Battery,441,20180110,Stasis Webification Battery
17180,Sensor Dampening Battery,440,20180110,Sensor Dampening Battery
17181,Warp Disruption Battery,443,20180110,Warp Scrambling Battery
17182,Warp Scrambling Battery,443,20180110,Warp Scrambling Battery
17184,Ballistic Deflection Array,444,20180110,Shield Hardening Array
17185,Explosion Dampening Array,444,20180110,Shield Hardening Array
17186,Heat Dissipation Array,444,20180110,Shield Hardening Array
17187,Photon Scattering Array,444,20180110,Shield Hardening Array
17402,Large Blaster Battery,449,20180110,Mobile Hybrid Sentry
17403,Medium Blaster Battery,449,20180110,Mobile Hybrid Sentry
17404,Small Blaster Battery,449,20180110,Mobile Hybrid Sentry
17406,Large Pulse Laser Battery,430,20180110,Mobile Laser Sentry
17407,Medium Pulse Laser Battery,430,20180110,Mobile Laser Sentry
17408,Small Pulse Laser Battery,430,20180110,Mobile Laser Sentry
17476,Covetor,463,20180110,Mining Barge
17478,Retriever,463,20180110,Mining Barge
17480,Procurer,463,20180110,Mining Barge
17619,Caldari Navy Hookbill,25,20180110,Frigate
17621,Corporate Hangar Array,471,20180110,Corporate Hangar Array
17634,Caracal Navy Issue,26,20180110,Cruiser
17636,Raven Navy Issue,27,20180110,Battleship
17701,Tracking Array,473,20180110,Tracking Array
17703,Imperial Navy Slicer,25,20180110,Frigate
17709,Omen Navy Issue,26,20180110,Cruiser
17713,Stabber Fleet Issue,26,20180110,Cruiser
17715,Gila,26,20180110,Cruiser
17718,Phantasm,26,20180110,Cruiser
17720,Cynabal,26,20180110,Cruiser
17722,Vigilant,26,20180110,Cruiser
17726,Apocalypse Navy Issue,27,20180110,Battleship
17728,Megathron Navy Issue,27,20180110,Battleship
17732,Tempest Fleet Issue,27,20180110,Battleship
17736,Nightmare,27,20180110,Battleship
17738,Machariel,27,20180110,Battleship
17740,Vindicator,27,20180110,Battleship
17770,Large AutoCannon Battery,426,20180110,Mobile Projectile Sentry
17771,Medium AutoCannon Battery,426,20180110,Mobile Projectile Sentry
17772,Small AutoCannon Battery,426,20180110,Mobile Projectile Sentry
