week_start,n_wars_active
2011-01-01,1923
2011-01-08,2055
2011-01-15,2095
2011-01-22,2256
2011-01-29,2305
2011-02-05,2412
2011-02-12,2274
2011-02-19,2033
2011-02-26,2236
2011-03-05,2287
2011-03-12,2279
2011-03-19,2243
2011-03-26,2259
2011-04-02,2268
2011-04-09,2222
2011-04-16,2277
2011-04-23,2246
2011-04-30,2203
2011-05-07,2198
2011-05-14,2144
2011-05-21,2196
2011-05-28,2369
2011-06-04,2349
2011-06-11,2243
2011-06-18,2255
2011-06-25,2261
2011-07-02,2388
2011-07-09,2389
2011-07-16,2508
2011-07-23,2386
2011-07-30,2241
2011-08-06,2061
2011-08-13,1997
2011-08-20,1853
2011-08-27,1935
2011-09-03,2025
2011-09-10,2076
2011-09-17,2111
2011-09-24,2222
2011-10-01,2116
2011-10-08,2245
2011-10-15,2278
2011-10-22,2339
2011-10-29,2785
2011-11-05,2708
2011-11-12,2608
2011-11-19,2123
2011-11-26,2841
2011-12-03,3065
2011-12-10,3431
2011-12-17,3828
2011-12-24,3599
2011-12-31,3743
2012-01-07,4000
2012-01-14,4030
2012-01-21,4269
2012-01-28,6992
2012-02-04,8393
2012-02-11,9545
2012-02-18,10097
2012-02-25,9548
2012-03-03,10554
2012-03-10,10953
2012-03-17,11773
2012-03-24,11183
2012-03-31,9921
2012-04-07,9509
2012-04-14,8196
2012-04-21,7106
2012-04-28,5874
2012-05-05,4523
2012-05-12,3057
2012-05-19,2043
2012-05-26,1469
2012-06-02,1346
2012-06-09,1428
2012-06-16,1368
2012-06-23,1615
2012-06-30,1570
2012-07-07,1438
2012-07-14,1508
2012-07-21,1549
2012-07-28,1536
2012-08-04,1560
2012-08-11,1485
2012-08-18,1522
2012-08-25,1481
2012-09-01,1446
2012-09-08,1558
2012-09-15,1650
2012-09-22,2078
2012-09-29,3705
2012-10-06,4250
2012-10-13,5516
2012-10-20,6906
2012-10-27,9950
2012-11-03,12045
2012-11-10,15931
2012-11-17,15940
2012-11-24,16866
2012-12-01,18406
2012-12-08,15896
2012-12-15,12660
2012-12-22,6409
2012-12-29,6387
2013-01-05,5895
2013-01-12,5436
2013-01-19,5334
2013-01-26,5136
2013-02-02,4610
2013-02-09,4490
2013-02-16,4270
2013-02-23,4421
2013-03-02,4442
2013-03-09,4341
2013-03-16,4299
2013-03-23,4255
2013-03-30,4162
2013-04-06,4394
2013-04-13,4514
2013-04-20,4210
2013-04-27,4283
2013-05-04,4505
2013-05-11,4232
2013-05-18,4111
2013-05-25,4539
2013-06-01,5628
2013-06-08,5066
2013-06-15,4865
2013-06-22,5401
2013-06-29,6174
2013-07-06,5095
2013-07-13,5416
2013-07-20,5307
2013-07-27,5241
2013-08-03,5190
2013-08-10,5120
2013-08-17,5124
2013-08-24,5175
2013-08-31,5184
2013-09-07,4912
2013-09-14,4886
2013-09-21,4995
2013-09-28,5707
2013-10-05,6234
2013-10-12,5180
2013-10-19,4790
2013-10-26,4634
2013-11-02,4731
2013-11-09,4688
2013-11-16,5121
2013-11-23,5318
2013-11-30,5006
2013-12-07,4728
2013-12-14,4684
2013-12-21,4593
2013-12-28,4664
2014-01-04,5037
2014-01-11,4923
2014-01-18,4667
2014-01-25,4655
2014-02-01,4916
2014-02-08,5392
2014-02-15,5285
2014-02-22,5195
2014-03-01,5197
2014-03-08,5589
2014-03-15,5613
2014-03-22,5105
2014-03-29,5091
2014-04-05,5009
2014-04-12,5015
2014-04-19,4883
2014-04-26,5048
2014-05-03,5161
2014-05-10,5209
2014-05-17,5911
2014-05-24,5255
2014-05-31,6782
2014-06-07,6624
2014-06-14,4558
2014-06-21,4444
2014-06-28,4361
2014-07-05,4584
2014-07-12,4443
2014-07-19,4384
2014-07-26,4710
2014-08-02,4886
2014-08-09,4822
2014-08-16,4543
2014-08-23,4769
2014-08-30,4890
2014-09-06,4951
2014-09-13,4656
2014-09-20,4452
2014-09-27,4446
2014-10-04,4211
2014-10-11,4243
2014-10-18,4481
2014-10-25,4828
2014-11-01,5736
2014-11-08,5319
2014-11-15,5115
2014-11-22,4964
2014-11-29,4497
2014-12-06,4971
2014-12-13,4663
2014-12-20,4342
2014-12-27,4454
2015-01-03,4638
2015-01-10,4903
2015-01-17,4996
2015-01-24,4867
2015-01-31,4672
2015-02-07,4631
2015-02-14,4708
2015-02-21,4760
2015-02-28,4441
2015-03-07,4355
2015-03-14,4433
2015-03-21,4525
2015-03-28,4798
2015-04-04,5169
2015-04-11,5478
2015-04-18,5058
2015-04-25,4594
2015-05-02,5834
2015-05-09,6094
2015-05-16,4799
2015-05-23,4249
2015-05-30,4363
2015-06-06,4352
2015-06-13,4338
2015-06-20,4080
2015-06-27,4025
2015-07-04,4192
2015-07-11,4373
2015-07-18,4298
2015-07-25,4250
2015-08-01,4207
2015-08-08,4312
2015-08-15,4389
2015-08-22,4418
2015-08-29,4295
2015-09-05,4679
2015-09-12,4552
2015-09-19,4275
2015-09-26,4966
2015-10-03,4388
2015-10-10,3990
2015-10-17,3856
2015-10-24,3865
2015-10-31,4259
2015-11-07,4198
2015-11-14,4035
2015-11-21,3913
2015-11-28,3732
2015-12-05,3593
2015-12-12,4118
2015-12-19,4091
2015-12-26,4422
