war_id,declared,started,finished,started_before_window,total_isk_destroyed,total_ships_killed
291410,2013-02-20,2013-02-21,,FALSE,5524672008859.12,348714
219532,2012-06-05,2012-06-06,2012-12-01,FALSE,1496743763069.72,101213
371260,2014-07-02,2014-07-02,2015-05-23,FALSE,605686697634.013,5271
274433,2012-12-07,2012-12-08,2013-02-06,FALSE,526797323661.554,46633
333314,2013-11-26,2013-11-26,2015-01-28,FALSE,417239975920.453,5474
338716,2014-01-05,2014-01-06,2015-01-28,FALSE,385216912040.627,3501
373345,2014-07-17,2014-07-18,2015-11-08,FALSE,359314918308.696,12577
296630,2013-04-07,2013-04-08,2013-10-08,FALSE,211367226442.142,3875
291570,2013-02-22,2013-02-22,2013-09-24,FALSE,206771828093.374,2285
366306,2014-06-04,2014-06-05,2014-09-26,FALSE,206738543440.537,1628
338282,2014-01-02,2014-01-02,2015-01-28,FALSE,172648318905.269,1245
295803,2013-03-30,2013-03-31,2013-05-26,FALSE,164276840211.184,1344
289597,2013-02-02,2013-02-02,2013-11-01,FALSE,161745402212.482,1973
281335,2012-12-14,2012-12-15,2013-01-27,FALSE,158831602605.022,545
315649,2013-08-05,2013-08-06,2013-10-22,FALSE,153735412268.71,532
290946,2013-02-15,2013-02-15,2013-08-20,FALSE,151317259863.485,1071
308618,2013-06-27,2013-06-28,2013-07-20,FALSE,140937700749.828,2536
149785,2011-05-02,2011-05-03,2012-06-05,FALSE,138339541163.882,53667
349458,2014-03-12,2014-03-13,2014-04-17,FALSE,129595438633.831,7991
351778,2014-03-23,2014-03-24,2014-08-19,FALSE,128367627485.738,2186
334549,2013-12-04,2013-12-05,2014-03-07,FALSE,124120936825.283,6250
323716,2013-09-27,2013-09-27,2014-02-04,FALSE,124114034136.14,1418
384247,2014-09-23,2014-09-23,2014-11-17,FALSE,120729118483.551,1435
297212,2013-04-10,2013-04-11,2013-06-28,FALSE,118478463794.775,800
364488,2014-05-30,2014-05-31,2015-01-25,FALSE,116369012708.633,858
324232,2013-10-01,2013-10-02,2013-12-26,FALSE,112520920503.342,21
346414,2014-02-23,2014-02-24,2015-01-27,FALSE,111127638897.908,948
221612,2012-07-08,2012-07-09,2012-07-23,FALSE,108244448280.652,1183
362984,2014-05-22,2014-05-22,2015-01-30,FALSE,108057695466.853,953
311471,2013-07-11,2013-07-12,2014-01-18,FALSE,105462332196.584,2090
345492,2014-02-18,2014-02-18,2015-01-31,FALSE,105372064428.596,1147
369660,2014-06-18,2014-06-18,2015-08-31,FALSE,105156030283.479,2259
430195,2015-06-03,2015-06-03,2016-03-01,FALSE,104679765052.17,1561
364797,2014-06-01,2014-06-01,2014-07-01,FALSE,103768361182.743,691
317194,2013-08-15,2013-08-16,2013-09-13,FALSE,102234525558.906,276
399756,2014-12-20,2014-12-21,2015-06-01,FALSE,99807992268.5499,1179
293862,2013-03-13,2013-03-13,2013-10-10,FALSE,95749517129.6824,953
434424,2015-07-03,2015-07-04,2016-07-10,FALSE,94153191550.45,4871
321211,2013-09-10,2013-09-11,2014-01-15,FALSE,89075294911.4252,2618
327462,2013-10-14,2013-10-14,2014-03-07,FALSE,86954848816.0026,561
339618,2014-01-10,2014-01-11,2014-04-06,FALSE,85214940820.5282,2365
295233,2013-03-25,2013-03-25,2013-06-07,FALSE,84980424457.818,514
298956,2013-04-26,2013-04-27,2013-08-03,FALSE,84337357038.2459,454
364487,2014-05-30,2014-05-31,2014-12-14,FALSE,83626682204.6696,527
337689,2013-12-29,2013-12-30,2014-02-17,FALSE,82648909981.012,602
358706,2014-05-04,2014-05-05,2014-06-23,FALSE,81560626188.7995,3178
340671,2014-01-18,2014-01-19,2014-06-09,FALSE,81148789705.5119,972
222784,2012-07-29,2012-07-30,2012-08-06,FALSE,80388651295.4332,890
281334,2012-12-14,2012-12-15,2013-01-27,FALSE,79996102435.2748,361
289933,2013-02-06,2013-02-06,2015-08-18,FALSE,77066394082.8074,4775
313209,2013-07-20,2013-07-21,2013-08-04,FALSE,76334455074.4249,1472
310273,2013-07-02,2013-07-02,2013-08-03,FALSE,75190707639.9041,376
290807,2013-02-14,2013-02-15,2013-02-22,FALSE,74263328424.366,2141
300601,2013-05-09,2013-05-10,2013-06-14,FALSE,72303830127.8987,360
293886,2013-03-13,2013-03-13,2013-09-13,FALSE,70990924041.9359,840
322851,2013-09-21,2013-09-22,2013-12-08,FALSE,68910588763.251,21
355725,2014-04-16,2014-04-16,2014-05-16,FALSE,68005644359.7797,515
400911,2014-12-28,2014-12-29,2015-02-16,FALSE,67332781522.63,315
446731,2015-09-23,2015-09-24,2016-06-24,FALSE,65745566313.81,430
353966,2014-04-06,2014-04-07,2014-06-09,FALSE,64228412371.3645,1365
452934,2015-11-03,2015-11-04,2016-01-27,FALSE,64013908011.58,1227
308529,2013-06-27,2013-06-28,2013-07-26,FALSE,63798029439.468,218
299634,2013-05-02,2013-05-03,2013-06-28,FALSE,63623725272.7057,367
351548,2014-03-22,2014-03-23,2015-01-26,FALSE,63393957323.2823,548
341029,2014-01-21,2014-01-22,2014-06-18,FALSE,63194351902.827,1505
328979,2013-10-26,2013-10-27,2013-12-15,FALSE,61371714784.8894,247
353570,2014-04-03,2014-04-04,2014-04-11,FALSE,61356609665.5085,3604
213618,2012-05-03,2012-05-04,2012-08-17,FALSE,60619951875.9558,942
346650,2014-02-24,2014-02-25,2014-03-25,FALSE,58550072408.502,436
221184,2012-06-30,2012-07-01,2012-07-08,FALSE,56105636491.3382,919
303476,2013-05-30,2013-05-31,2013-06-28,FALSE,55362694703.1136,837
328430,2013-10-21,2013-10-22,2014-01-07,FALSE,54519043639.2377,408
291163,2013-02-17,2013-02-17,2013-06-11,FALSE,53247093465.4187,230
290806,2013-02-14,2013-02-15,2013-02-22,FALSE,53117614146.4373,1691
284286,2012-12-23,2012-12-24,2013-03-04,FALSE,52651270144.5567,673
353573,2014-04-03,2014-04-04,2014-04-11,FALSE,51140553421.4919,3275
386793,2014-10-13,2014-10-13,2014-12-24,FALSE,50890578328.79,480
294029,2013-03-14,2013-03-15,2013-04-27,FALSE,49870392685.9303,1057
458706,2015-12-18,2015-12-19,2018-05-27,FALSE,49428281231.76,193
344304,2014-02-11,2014-02-12,2014-06-05,FALSE,49358773618.034,640
336074,2013-12-16,2013-12-17,2014-02-08,FALSE,49352354459.4125,371
399193,2014-12-15,2014-12-16,2015-01-11,FALSE,49302536238.63,489
291063,2013-02-17,2013-02-18,2013-02-21,FALSE,48838980239.5897,139
291422,2013-02-20,2013-02-21,2013-06-14,FALSE,48071117587.7202,452
344740,2014-02-13,2014-02-13,2014-03-16,FALSE,47064145747.9166,384
414149,2015-03-19,2015-03-20,2015-04-24,FALSE,46441093416.83,785
399190,2014-12-15,2014-12-16,2015-01-10,FALSE,46422403271.55,439
291419,2013-02-20,2013-02-21,2013-06-07,FALSE,46002705817.9201,334
298968,2013-04-26,2013-04-27,2013-06-22,FALSE,45939530025.9304,419
351547,2014-03-22,2014-03-23,2014-05-18,FALSE,45936180261.3163,194
303071,2013-05-27,2013-05-27,2013-06-21,FALSE,45910731314.3758,249
245464,2012-11-06,2012-11-06,2012-11-13,FALSE,45743890969.3886,68
388386,2014-10-23,2014-10-23,2014-11-13,FALSE,45702933158.74,166
348032,2014-03-04,2014-03-05,2014-06-04,FALSE,45229400374.5144,411
329966,2013-11-03,2013-11-04,2013-11-19,FALSE,44541585617.9777,798
304782,2013-06-01,2013-06-01,2013-09-13,FALSE,44398528136.9643,279
285216,2012-12-30,2012-12-31,2013-04-09,FALSE,43955965614.898,405
303480,2013-05-30,2013-05-31,2013-06-21,FALSE,43698147692.1281,220
285300,2012-12-31,2012-12-31,2013-01-27,FALSE,43157550578.5894,65
370014,2014-06-21,2014-06-22,2014-12-14,FALSE,42967086843.9975,551
223438,2012-08-10,2012-08-11,2012-08-25,FALSE,42282523833.2597,9
444267,2015-09-10,2015-09-11,2016-01-09,FALSE,41798521060.8301,1141
343804,2014-02-09,2014-02-10,2014-03-03,FALSE,41670898058.313,183
341810,2014-01-27,2014-01-28,2014-02-19,FALSE,40890536562.1513,1142
419017,2015-04-12,2015-04-13,2015-05-25,FALSE,40848962444.53,557
299629,2013-05-01,2013-05-02,2013-06-07,FALSE,40614355296.4087,96
357426,2014-04-27,2014-04-28,2015-01-27,FALSE,40471533074.1954,485
294464,2013-03-19,2013-03-20,2013-04-03,FALSE,40057192038.1372,11
389230,2014-10-28,2014-10-28,2014-11-18,FALSE,39749033172.05,167
317218,2013-08-15,2013-08-16,2013-09-20,FALSE,39670007820.4352,196
342029,2014-01-29,2014-01-30,2014-05-09,FALSE,39544662237.9713,414
221186,2012-06-30,2012-07-01,2012-07-08,FALSE,38998022347.3919,717
233774,2012-10-20,2012-10-20,2012-10-25,FALSE,38734550384.0371,218
301427,2013-05-16,2013-05-17,2013-05-24,FALSE,38627543639.6195,2835
222494,2012-07-24,2012-07-25,2012-08-15,FALSE,38484398397.137,224
307116,2013-06-20,2013-06-21,2013-06-28,FALSE,37976862419.2301,53
306401,2013-06-14,2013-06-14,2013-06-28,FALSE,37881851480.5548,64
359250,2014-05-07,2014-05-08,2014-06-05,FALSE,37678727518.4542,187
