week_start,n_wars_active
2018-01-01,4356
2018-01-08,4296
2018-01-15,4399
2018-01-22,4438
2018-01-29,4550
2018-02-05,4430
2018-02-12,5370
2018-02-19,4932
2018-02-26,5072
2018-03-05,5167
2018-03-12,4696
2018-03-19,4803
2018-03-26,4686
2018-04-02,6060
2018-04-09,5861
2018-04-16,7267
2018-04-23,5755
2018-04-30,5394
2018-05-07,5598
2018-05-14,6860
2018-05-21,6915
2018-05-28,5933
2018-06-04,5822
2018-06-11,5809
2018-06-18,5708
2018-06-25,5666
2018-07-02,5631
2018-07-09,5750
2018-07-16,5623
2018-07-23,5614
2018-07-30,5680
2018-08-06,5810
2018-08-13,5955
2018-08-20,6209
2018-08-27,6090
2018-09-03,6379
2018-09-10,6508
2018-09-17,6359
2018-09-24,6094
2018-10-01,6267
2018-10-08,6664
2018-10-15,6367
2018-10-22,6204
2018-10-29,6121
2018-11-05,6616
2018-11-12,6502
2018-11-19,6391
2018-11-26,6592
2018-12-03,6995
2018-12-10,6745
2018-12-17,6199
2018-12-24,6047
2018-12-31,6169
2019-01-07,6395
2019-01-14,6331
2019-01-21,6252
2019-01-28,6237
2019-02-04,6748
2019-02-11,6816
2019-02-18,2034
2019-02-25,2313
2019-03-04,2085
2019-03-11,1980
2019-03-18,2209
2019-03-25,2047
2019-04-01,2546
2019-04-08,2664
2019-04-15,2085
2019-04-22,2233
2019-04-29,1720
2019-05-06,1880
2019-05-13,2010
2019-05-20,1957
2019-05-27,1807
2019-06-03,1694
2019-06-10,1592
2019-06-17,1690
2019-06-24,1431
2019-07-01,1354
2019-07-08,1188
2019-07-15,1173
2019-07-22,1259
2019-07-29,1631
2019-08-05,1952
2019-08-12,1684
2019-08-19,2238
2019-08-26,2177
2019-09-02,1705
2019-09-09,1925
2019-09-16,1751
2019-09-23,1715
2019-09-30,2072
2019-10-07,2010
2019-10-14,1190
2019-10-21,876
2019-10-28,1341
2019-11-04,1441
2019-11-11,900
2019-11-18,966
2019-11-25,1225
2019-12-02,1232
2019-12-09,873
2019-12-16,875
2019-12-23,902
2019-12-30,1093
2020-01-06,990
2020-01-13,879
2020-01-20,994
2020-01-27,844
2020-02-03,906
2020-02-10,984
2020-02-17,1127
2020-02-24,1246
2020-03-02,1437
2020-03-09,1397
2020-03-16,1815
2020-03-23,1747
2020-03-30,1783
2020-04-06,1479
2020-04-13,1423
2020-04-20,1327
2020-04-27,1605
2020-05-04,2608
2020-05-11,3221
2020-05-18,3750
2020-05-25,1424
2020-06-01,8156
2020-06-08,5758
2020-06-15,2455
2020-06-22,2100
2020-06-29,1961
2020-07-06,1778
2020-07-13,1598
2020-07-20,1569
2020-07-27,1842
2020-08-03,2568
2020-08-10,1209
2020-08-17,964
2020-08-24,921
2020-08-31,1037
2020-09-07,1127
2020-09-14,1151
2020-09-21,1067
2020-09-28,1364
2020-10-05,1389
2020-10-12,1465
2020-10-19,1361
2020-10-26,1384
2020-11-02,1346
2020-11-09,1292
2020-11-16,1130
2020-11-23,1186
2020-11-30,1219
2020-12-07,1179
2020-12-14,1345
2020-12-21,1425
2020-12-28,1305
2021-01-04,1496
2021-01-11,1556
2021-01-18,1559
2021-01-25,1643
2021-02-01,1428
2021-02-08,1265
2021-02-15,1078
2021-02-22,1080
2021-03-01,1068
2021-03-08,1020
2021-03-15,1100
2021-03-22,1108
2021-03-29,1087
2021-04-05,1015
2021-04-12,1103
2021-04-19,1054
2021-04-26,954
2021-05-03,1049
2021-05-10,998
2021-05-17,905
2021-05-24,1064
2021-05-31,1123
2021-06-07,765
2021-06-14,680
2021-06-21,700
2021-06-28,647
2021-07-05,736
2021-07-12,841
2021-07-19,768
2021-07-26,966
2021-08-02,1258
2021-08-09,952
2021-08-16,995
2021-08-23,1060
2021-08-30,1114
2021-09-06,1190
2021-09-13,874
2021-09-20,829
2021-09-27,810
2021-10-04,814
2021-10-11,802
2021-10-18,867
2021-10-25,841
2021-11-01,880
2021-11-08,872
2021-11-15,766
2021-11-22,696
2021-11-29,608
2021-12-06,635
2021-12-13,873
2021-12-20,864
2021-12-27,865
2022-01-03,1196
2022-01-10,953
2022-01-17,698
2022-01-24,759
2022-01-31,769
2022-02-07,742
2022-02-14,626
2022-02-21,686
2022-02-28,703
2022-03-07,726
2022-03-14,743
2022-03-21,755
2022-03-28,846
2022-04-04,904
2022-04-11,910
2022-04-18,900
2022-04-25,826
2022-05-02,886
2022-05-09,1144
2022-05-16,820
2022-05-23,824
2022-05-30,711
2022-06-06,686
2022-06-13,664
2022-06-20,688
2022-06-27,704
2022-07-04,702
2022-07-11,731
2022-07-18,686
2022-07-25,756
2022-08-01,772
2022-08-08,736
2022-08-15,634
2022-08-22,616
2022-08-29,597
2022-09-05,576
2022-09-12,611
2022-09-19,593
2022-09-26,528
2022-10-03,528
2022-10-10,571
2022-10-17,562
2022-10-24,642
2022-10-31,551
2022-11-07,500
2022-11-14,410
2022-11-21,429
2022-11-28,391
2022-12-05,341
2022-12-12,287
2022-12-19,320
2022-12-26,297
