war_id,declared,started,finished,started_before_window,total_isk_destroyed,total_ships_killed
635778,2019-03-07,2019-03-08,2019-08-03,FALSE,2773343703686.88,40091
619800,2018-10-13,2018-10-14,2019-02-24,FALSE,1602058738197.37,28826
635777,2019-03-07,2019-03-08,2019-08-03,FALSE,1261300521822.29,10915
628203,2018-12-22,2018-12-23,2019-02-24,FALSE,794508725856.98,3443
720441,2022-06-16,2022-06-17,2022-10-22,FALSE,577044065492.141,7063
638757,2019-04-04,2019-04-04,2019-04-07,FALSE,532644139468.58,1730
636483,2019-03-16,2019-03-17,2019-06-23,FALSE,500150882709.211,12819
629375,2019-01-04,2019-01-05,2019-02-02,FALSE,381738094128.18,7173
639185,2019-04-07,2019-04-07,2019-04-15,FALSE,351244924901.07,2520
641368,2019-04-23,2019-04-24,2019-05-08,FALSE,331558942901.041,4779
605266,2018-06-20,2018-06-21,2019-08-16,FALSE,308823146130.091,3657
610292,2018-08-08,2018-08-09,2019-06-21,FALSE,284224872634.11,1627
639694,2019-04-10,2019-04-11,2019-05-10,FALSE,259997129438.74,2372
629376,2019-01-04,2019-01-05,2019-01-26,FALSE,242335825802.64,2022
644864,2019-06-06,2019-06-07,2019-12-21,FALSE,238293492255.21,1640
620521,2018-10-19,2018-10-20,2019-04-20,FALSE,211761569926.11,1831
722528,2022-08-22,2022-08-23,,FALSE,210371355174.84,1444
631383,2019-01-27,2019-01-28,2019-02-25,FALSE,199168659304.322,3140
619828,2018-10-13,2018-10-14,2018-10-28,FALSE,191991064353.63,5645
639588,2019-04-10,2019-04-10,2019-04-20,FALSE,186191718769.33,1625
610288,2018-08-08,2018-08-09,2019-05-17,FALSE,176920396025.28,1868
631458,2019-01-28,2019-01-28,2019-02-23,FALSE,174744049895.52,1814
639708,2019-04-11,2019-04-12,2019-04-26,FALSE,170266980815.41,868
619703,2018-10-12,2018-10-13,2019-08-18,FALSE,161539966550.9,730
622368,2018-11-04,2018-11-05,2019-08-20,FALSE,157379262582.41,1285
692875,2020-10-23,2020-10-24,2020-12-30,FALSE,150878739954.79,1495
619799,2018-10-13,2018-10-14,2018-12-20,FALSE,148957225425.749,128
637544,2019-03-26,2019-03-27,2019-04-03,FALSE,147613357640.34,1933
610289,2018-08-08,2018-08-09,2019-06-21,FALSE,146674425071.95,833
638257,2019-04-01,2019-04-02,2019-05-14,FALSE,144997286573.87,1455
611577,2018-08-18,2018-08-19,2018-11-04,FALSE,144948561241.54,2252
714277,2022-01-04,2022-01-05,2022-01-26,FALSE,137665618731.33,1585
655317,2019-11-04,2019-11-04,2020-04-03,FALSE,137613626841.02,439
718639,2022-05-07,2022-05-08,,FALSE,135391517712.37,736
609172,2018-07-28,2018-07-29,2018-08-19,FALSE,131665783168.56,1
719751,2022-05-26,2022-05-27,2022-08-08,FALSE,123779663256.34,894
634236,2019-02-21,2019-02-22,2019-03-15,FALSE,122986372675.16,2122
714381,2022-01-06,2022-01-06,2022-01-10,FALSE,122101374153.84,1127
704286,2021-05-15,2021-05-16,2021-08-08,FALSE,121124114054.69,1732
639702,2019-04-10,2019-04-11,2019-05-17,FALSE,120381284198.23,1815
631382,2019-01-27,2019-01-28,2019-02-25,FALSE,116108154919.29,1884
723729,2022-10-09,2022-10-10,2022-11-28,FALSE,113800018589.63,1767
631197,2019-01-25,2019-01-26,2019-03-02,FALSE,107951788102.76,138
639373,2019-04-09,2019-04-10,2019-06-05,FALSE,106621466929.47,1404
634231,2019-02-20,2019-02-21,2019-04-12,FALSE,103880245084.67,1467
638360,2019-04-01,2019-04-02,2019-04-30,FALSE,103075971805.08,924
