date,baseline_payout,baseline_ratio,adjusted_payout,adjusted_ratio
2011-01-01,53676060654.48,,52509435536.2705,
2011-01-02,63989749854.99,,60341576639.153,
2011-01-03,23457534772.1,,21119829885.2695,
2011-01-04,23730297481.78,,23730297481.78,
2011-01-05,21964973837.04,,21964973837.04,
2011-01-06,24166249244.26,,21796057410.121,
2011-01-07,74780418652.69,,70116067320.022,
2011-01-08,66721767656.96,,65538868091.5255,
2011-01-09,29128915745.93,,25862564804.557,
2011-01-10,67833600131.11,,65494004596.6915,
2011-01-11,22124571740.11,,19858053189.893,
2011-01-12,24054290191.49,,21640813391.021,
2011-01-13,25848701685.39,,24619633455.8485,
2011-01-14,28891628084.62,,27665462096.9995,
2011-01-15,43837498208.9,,40287186727.2715,
2011-01-16,126491273983.42,,124174897148.188,
2011-01-17,31318198753.66,,27767499560.197,
2011-01-18,16958951344,,15789571578.2605,
2011-01-19,29516571608.24,,28231319782.0825,
2011-01-20,28131558837.2,,25602199926.661,
2011-01-21,34537884117.9,,30741776856.1885,
2011-01-22,114510684246.66,,109612184032.741,
2011-01-23,31053851143.79,,29778888918.6655,
2011-01-24,35033621069.52,,30102482081.2245,
2011-01-25,107058851343.88,,104662042374.903,
2011-01-26,45333051279.41,,45333051279.41,
2011-01-27,27157733309.68,,24877347665.153,
2011-01-28,48118504590.23,,46869854261.7815,
2011-01-29,38676991857,,36043017897.6865,
2011-01-30,59487963485.87,,54361367180.0865,
2011-01-31,41825104372.18,,36764744002.704,
2011-02-01,20303897446.58,,20303897446.58,
2011-02-02,76523712558.67,,72661168657.5375,
2011-02-03,36959447023.36,,35636966050.237,
2011-02-04,36415513612.71,,33761065777.712,
2011-02-05,55028400681.3,,52478087640.5885,
2011-02-06,40011440130.98,,34753768480.2605,
2011-02-07,25015625060.66,,23630777655.7845,
2011-02-08,70542111082.85,,68040732769.3095,
2011-02-09,61267610077.15,,56415360326.017,
2011-02-10,61492640968.5,,61492640968.5,
2011-02-11,33362547488.06,,31959037745.01,
2011-02-12,84254713042.24,,79551772485.6815,
2011-02-13,42321891894.45,,37336481599.4185,
2011-02-14,165309511247.9,,159572957526.312,
2011-02-15,126519569458.06,,120870970291.49,
2011-02-16,38151108388.44,,36865514332.6475,
2011-02-17,26018032722.14,,23302910700.8395,
2011-02-18,27869346488.01,,27869346488.01,
2011-02-19,43290630469.14,,38205606460.156,
2011-02-20,38972693777.77,,38972693777.77,
2011-02-21,88940558037.31,,86106202847.214,
2011-02-22,30919779566.28,,29576884755.038,
2011-02-23,53434060366.89,,48018627377.9305,
2011-02-24,30605965795.31,,30605965795.31,
2011-02-25,44791018767.35,,44791018767.35,
2011-02-26,68400192007.65,,64034188333.062,
2011-02-27,60777043607.49,,57856101333.689,
2011-02-28,30161830411.05,,28666279964.711,
2011-03-01,34898041989.96,,33429634518.4895,
2011-03-02,37691146022.89,,36229227587.632,
2011-03-03,36471805781.52,,36471805781.52,
2011-03-04,98211298858.85,,94008125181.7525,
2011-03-05,42167138348.05,,37987562964.482,
2011-03-06,60454391584.9,,54712663020.591,
2011-03-07,93369306990.49,,90664203200.8375,
2011-03-08,17586157240.2,,17586157240.2,
2011-03-09,46463312542.91,,45038055177.3815,
2011-03-10,44885618784.42,,44885618784.42,
2011-03-11,26558596735.83,,22158970043.8325,
2011-03-12,126931747510.14,,123999984612.333,
2011-03-13,90435543131.82,,90435543131.82,
2011-03-14,60783756846.08,,56411297931.7045,
2011-03-15,41517218763.41,,37508895737.6355,
2011-03-16,23612390907.79,,23612390907.79,
2011-03-17,201875308714.29,,201875308714.29,
2011-03-18,101661204396.7,,95979817531.0275,
2011-03-19,134093358595.1,,131433608026.16,
2011-03-20,275471605775.42,,269751265385.198,
2011-03-21,32217656692.91,,28766412967.854,
2011-03-22,22605125945.96,,21295821476.5805,
2011-03-23,211127485075.04,,208634162955.683,
2011-03-24,35305418529.42,,33917753116.136,
2011-03-25,37420995585.33,,35990907521.366,
2011-03-26,44989413542.4,0.777451856915564,40789639013.3475,0.736943463682517
2011-03-27,218190443363.73,3.77724971504584,215393650614.049,3.90133572363314
2011-03-28,35556730132.88,0.596588523338725,35556730132.88,0.623189042324869
2011-03-29,88635468661.83,1.48358458736054,84441260494.041,1.47552461314887
2011-03-30,30737334948.78,0.507914003606984,30737334948.78,0.530404826401049
2011-03-31,186953078916.98,3.08395327957238,182973259486.991,3.151715047711
2011-04-01,184263727747.67,2.94543064063596,184263727747.67,3.0723977731162
2011-04-02,226298447060.07,3.54352331440135,224996846207.866,3.66845770522757
2011-04-03,232340288604.03,3.53303296913829,231121351898.973,3.6551832058104
2011-04-04,164591148513.99,2.41401623452318,163338421779.367,2.48708349920749
2011-04-05,213243078119.51,3.07562127135861,208657448209.72,3.12176862961871
2011-04-06,31565617163.56,0.440807907464133,30377464216.467,0.439698002500872
2011-04-07,77512005649.07,1.08109057954589,73733000061.647,1.06564256483394
2011-04-08,201967786946.94,2.79296594153366,198044232854.012,2.83829395335264
2011-04-09,53660280289.58,0.721497844212718,48342433052.273,0.673254313857026
2011-04-10,27555635053.45,0.369922048443826,24844136793.0005,0.345537296089269
2011-04-11,190198700046.15,2.59435291905754,184925822096.217,2.6149935501394
2011-04-12,24109659499.23,0.320590069208732,21540016201.955,0.296741694279153
2011-04-13,184960797377.17,2.45667300742047,183735031647.316,2.52880375468147
2011-04-14,181241318868.88,2.34952168818813,179997721382.652,2.41581314076264
2011-04-15,147157601405.81,1.8636414120628,142221576030.7,1.8628514178922
2011-04-16,301299050864.15,3.75202208028159,297261021525.587,3.82706761792223
2011-04-17,160742099641.71,1.94775675176199,159416972621.681,1.99502569230526
2011-04-18,151645836357.32,1.80378957599775,146409882116.484,1.79753117648906
2011-04-19,51021567456.74,0.597030250350143,51021567456.74,0.615941025863279
2011-04-20,24235009478.02,0.285817772378463,24235009478.02,0.294842090462988
2011-04-21,96972879731.05,1.14705617941939,92815525825.98,1.13265075237139
2011-04-22,44562163631.75,0.521977637919884,43357784701.202,0.523934590634367
2011-04-23,167171698386.39,1.95913250933344,163264490235.216,1.97388206267646
2011-04-24,38709735681.98,0.445661009011465,37586246661.8145,0.446249779575273
2011-04-25,226228444910.61,2.61198214377744,224068510475.248,2.66661812253549
2011-04-26,108655291155.48,1.22349826030484,105165755797.594,1.21921376693115
2011-04-27,159038854624.3,1.76987377029415,155182954014.975,1.77824884358292
2011-04-28,48343573230.3,0.532176783425557,48343573230.3,0.547804452376242
2011-04-29,21582641382.97,0.237232580807084,21582641382.97,0.244144877361133
2011-04-30,32332662271.51,0.356086058474316,27276663158.3045,0.309063065623586
2011-05-01,46994591315.1,0.519105471829124,44527691235.062,0.506249839639515
2011-05-02,37643459754.78,0.415430746722184,34269374170.138,0.389104944509462
2011-05-03,23937043930.7,0.263730102259602,21577500284.867,0.244645724706256
2011-05-04,23304986381.51,0.258345534920287,23304986381.51,0.265899534720556
2011-05-05,25476615989.66,0.283840973513192,24383013905.744,0.27945615252256
2011-05-06,32040899243.93,0.358688632140789,28588174409.6075,0.329319358618377
2011-05-07,63192616654.37,0.707547754966153,60622950666.7785,0.698664561480903
2011-05-08,45819386568.02,0.514469535455255,44508292866.958,0.514282707439403
2011-05-09,44088647426.06,0.494805114038947,41539665677.7375,0.479507879194743
2011-05-10,43611934307.54,0.497512654647629,42241055249.391,0.495643754814287
2011-05-11,44517524255.62,0.513626479218037,39787876971.6905,0.472043626295548
2011-05-12,34968201906.08,0.403097497289348,32372433966.5425,0.383908305332843
2011-05-13,35940329379.57,0.413795493186048,34622473307.2855,0.410066709337844
2011-05-14,41249904312.96,0.474401964497362,36064710578.58,0.426742151772569
2011-05-15,37551259403.49,0.431985729146977,35026102458.1845,0.414577662453605
2011-05-16,32328722232.79,0.371978624124449,31087490495.658,0.368164009340774
2011-05-17,37979908639.81,0.44041717792531,34189998067.079,0.408071855919549
2011-05-18,44450339477.66,0.514946774357556,43097333692.307,0.514047671104235
2011-05-19,22142419131.12,0.256832951603353,20774409968.6945,0.247962086713673
2011-05-20,74890761523.56,0.869684588582912,70751064516.272,0.84566177660645
2011-05-21,72505472792.47,0.838495789569531,67054577801.4535,0.798529293848742
2011-05-22,115169302527.96,1.33113298418689,111151348620.91,1.32309562066908
2011-05-23,85249566239.04,0.977999569159022,83933583081.601,0.991618479799562
2011-05-24,53171404330.02,0.605437636895314,50596600076.0915,0.59315390466379
2011-05-25,39147826192.67,0.444656359144391,35208540152.165,0.411770107451251
2011-05-26,83675131938.86,0.950227789169757,80019495632.1835,0.935975171465736
2011-05-27,54974308733.6,0.620338080493859,54974308733.6,0.639149886416744
2011-05-28,65793053045.74,0.746755701012284,65793053045.74,0.76908735197248
2011-05-29,40342107185.1,0.456428634741404,36612622734.748,0.42633328562725
2011-05-30,72659733506.06,0.824301652499679,71374516176.9485,0.833206476986906
2011-05-31,35292130477.83,0.401501014102207,32823469437.254,0.384202104712153
2011-06-01,139483405208.96,1.58303719771212,138212004960.575,1.61435810228727
2011-06-02,99376692470.72,1.1138556696871,98095353142.84,1.13112860402016
2011-06-03,94001054479.56,1.04599787729986,92699137695.429,1.06115440186256
2011-06-04,55290651018.37,0.609799366135525,52803648662.6045,0.598703605434957
2011-06-05,35066234532.11,0.390417099506622,33812573526.2005,0.387097128057712
2011-06-06,40106556401.24,0.449835843878531,37551130856.0425,0.433240694061335
2011-06-07,40267064246.29,0.452886478297131,35040674000.816,0.405326636090498
2011-06-08,32643605478.09,0.367206372022136,32643605478.09,0.37772736657411
2011-06-09,50283918169.62,0.564958139512692,46361244460.9365,0.535791051035497
2011-06-10,54755945076.17,0.62793500489523,49548795028.0085,0.585148965048999
2011-06-11,80780060148.18,0.932347020200254,80780060148.18,0.960244365185662
2011-06-12,75415993886.67,0.876859379796943,71534387988.855,0.85647909688456
2011-06-13,94345321353.74,1.12819075281151,94345321353.74,1.1624359248105
2011-06-14,37513708130.64,0.444659913565245,33630686391.2675,0.410418413149869
2011-06-15,34654692398.32,0.409908895564532,30811931094.4685,0.375346568418748
