date,baseline_payout,baseline_ratio,adjusted_payout,adjusted_ratio
2018-01-01,208126649262.45,,202939987544.495,
2018-01-02,89513195858.63,,84134019122.616,
2018-01-03,122536530727.26,,117442672583.259,
2018-01-04,123233836444.18,,117728378713.073,
2018-01-05,106067343509.84,,101323825013.92,
2018-01-06,119530245250.17,,113783149731.835,
2018-01-07,128782860021.73,,123022039721.831,
2018-01-08,88130740008.07,,82306259875.576,
2018-01-09,88939198082.08,,83118498493.141,
2018-01-10,109029141645.98,,104382556135.296,
2018-01-11,134149879806.99,,129025827715.58,
2018-01-12,103979308479.26,,98384179020.993,
2018-01-13,123362726741.32,,117966186050.768,
2018-01-14,160049352724.5,,154070852804.472,
2018-01-15,127144005921.65,,121709657977.661,
2018-01-16,173133457390.09,,167241223902.079,
2018-01-17,208635799777.15,,203314188231.67,
2018-01-18,103280147592.49,,101083745358.376,
2018-01-19,144306586847.99,,137493876497.03,
2018-01-20,162793171530.1,,157025247135.077,
2018-01-21,132817238670.85,,127617273720.697,
2018-01-22,145369286720.22,,139965506960.374,
2018-01-23,107911182646.11,,101590430195.295,
2018-01-24,151122966650.29,,144637213302.239,
2018-01-25,133773311889.86,,129009040517.919,
2018-01-26,106561755863.36,,101490889035.649,
2018-01-27,106240812178.8,,101116052027.665,
2018-01-28,132788141120.34,,128124984701.14,
2018-01-29,104286985735.15,,98954336077.15,
2018-01-30,112177329949.35,,106705423580.177,
2018-01-31,129628505366.62,,124000010234.02,
2018-02-01,124040870558.43,,118963124954.241,
2018-02-02,132444907529.07,,127230902152.292,
2018-02-03,177676919199.22,,172592373986.966,
2018-02-04,161838608047.5,,156608366718.186,
2018-02-05,112172227705.29,,106793274689.633,
2018-02-06,367721161039.1,,362415678424.211,
2018-02-07,121397223560.23,,116746091205.738,
2018-02-08,101366845632.14,,96506812566.276,
2018-02-09,103782482782.21,,98915046383.1755,
2018-02-10,236168912542.82,,230886133637.372,
2018-02-11,167163380319.94,,162343975445.098,
