ship_type_id,window,mean_pct_priced,pct_rows_fully_priced
582,a,1,1
583,a,1,1
584,a,1,1
585,a,1,1
586,a,1,1
587,a,1,1
589,a,1,1
590,a,1,1
591,a,1,1
592,a,1,1
593,a,1,1
594,a,1,1
597,a,1,1
598,a,1,1
599,a,1,1
602,a,1,1
603,a,1,1
605,a,1,1
607,a,1,1
608,a,1,1
609,a,1,1
620,a,1,1
621,a,1,1
622,a,1,1
623,a,1,1
624,a,1,1
625,a,1,1
626,a,1,1
627,a,1,1
628,a,1,1
629,a,1,1
630,a,1,1
631,a,1,1
632,a,1,1
633,a,1,1
634,a,1,1
638,a,1,1
639,a,1,1
640,a,1,1
641,a,1,1
642,a,1,1
643,a,1,1
644,a,1,1
645,a,1,1
648,a,1,1
649,a,1,1
650,a,1,1
651,a,1,1
652,a,1,1
653,a,1,1
654,a,1,1
655,a,1,1
656,a,1,1
657,a,1,1
672,a,1,1
1944,a,1,1
2006,a,1,1
2161,a,1,1
2998,a,1,1
3766,a,1,1
11129,a,1,1
11132,a,1,1
11134,a,1,1
11172,a,1,1
11174,a,1,1
11176,a,1,1
11178,a,1,1
11182,a,1,1
11184,a,1,1
11186,a,1,1
11188,a,1,1
11190,a,1,1
11192,a,1,1
11194,a,1,1
11196,a,1,1
11198,a,1,1
11200,a,1,1
11202,a,1,1
11365,a,1,1
11371,a,1,1
11377,a,1,1
11379,a,1,1
11381,a,1,1
11387,a,1,1
11393,a,1,1
11400,a,1,1
11567,a,0.995884773662551,0.962962962962963
11957,a,1,1
11959,a,1,1
11961,a,1,1
11963,a,1,1
11965,a,1,1
11969,a,1,1
11971,a,1,1
11978,a,1,1
11985,a,1,1
11987,a,1,1
11989,a,1,1
11993,a,1,1
11995,a,1,1
11999,a,1,1
12003,a,1,1
12005,a,1,1
12011,a,1,1
12013,a,1,1
12015,a,1,1
12017,a,1,1
12019,a,1,1
12021,a,1,1
12023,a,1,1
12032,a,1,1
12034,a,1,1
12038,a,1,1
12042,a,1,1
12044,a,1,1
12235,a,1,1
12237,a,1,1
12729,a,1,1
12731,a,1,1
12733,a,1,1
12735,a,1,1
12743,a,1,1
12745,a,1,1
12747,a,1,1
13780,a,1,1
14343,a,1,1
16213,a,1,1
16214,a,1,1
16216,a,1,1
16221,a,1,1
16227,a,1,1
16229,a,1,1
16231,a,1,1
16233,a,1,1
16236,a,1,1
16238,a,1,1
16240,a,1,1
16242,a,1,1
16631,a,1,1
16688,a,1,1
16689,a,1,1
16691,a,1,1
16696,a,1,1
16697,a,1,1
16869,a,1,1
17167,a,1,1
17168,a,1,1
17174,a,1,1
17175,a,1,1
17176,a,1,1
17177,a,1,1
17178,a,1,1
17181,a,1,1
17182,a,1,1
17184,a,1,1
17185,a,1,1
17186,a,1,1
17187,a,1,1
17406,a,1,1
17407,a,1,1
17408,a,1,1
17476,a,1,1
17478,a,1,1
17480,a,1,1
17619,a,1,1
17621,a,1,1
17634,a,1,1
17636,a,1,1
17703,a,1,1
17709,a,1,1
17713,a,1,1
17715,a,1,1
17718,a,1,1
17720,a,1,1
